rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
24,25,TRIAL_0025_CDP_NEG,0.38454960114628256,A,True,0.3688863786396287,0.4155519417346649,0.420228536413574,0.034706621992515445,1.3648179928921942,1.085588314454179,0.7675230931169579,99.70703125,99.931640625,49731,94.57891589999781,3e96e50da9cdcc926a8b1af2aeb225499f7a4e2115a55384d0b9ebda7f45b977
25,78,TRIAL_0078_CDP_NEG,0.7379035071762982,C,False,0.7298862244941667,0.7567912061352929,0.7739080059612138,0.044563899569110756,0.856589545041396,0.4440341250621767,0.04891688042467303,94.43359375,96.591796875,76033,2393.7840603999794,2fb63e077947d2dd54f967245b7accb9b639c277d7c10b9749210383b1ba47b2
26,105,TRIAL_0105_CDP_NEG,0.7374363297704931,C,False,0.7273437081713419,0.7607059286780038,0.7694857094552665,0.041302446812398426,0.8658953764304297,0.44903288260313046,0.07074328808857824,65.72265625,84.74609375,48321,2204.8710505999916,101438043482e95522e0263d1e16d0f76f651a4afc679f4c2cb3c01f96de2667
27,53,TRIAL_0053_CDP_NEG,0.7367629306530856,C,False,0.7314943090648724,0.75037448655163,0.770053481873169,0.042513489386438084,0.8636574847850896,0.44999683741776214,0.036481047118785206,72.802734375,79.443359375,94721,3488.8613815999997,bc44ade08b80f06dd3485a6fabb95da4171441ae28f22d8a74fbbda38ab9e49f
28,68,TRIAL_0068_CDP_NEG,0.7359739203252418,C,False,0.7261852379164617,0.7578079952338139,0.7734535344202511,0.04424974436804479,0.8574358575626494,0.4447533185176386,0.02718419166778588,57.32421875,77.646484375,103777,2367.250215699998,0fb038355a71682712be8cc76d8b5a3595b7d764c6807512ad3aa93a6f40315e
29,92,TRIAL_0092_CDP_NEG,0.7356985685335973,C,False,0.73194711114862,0.7466964309567823,0.7669563575609339,0.04174263198702746,0.869916697311351,0.44919805525014417,0.020288212520348424,79.150390625,90.498046875,43905,2635.69948489996,337a5b2faa9bf6f89216eca0c3cc2698c642cde3f4a6d53a72517592c63091b4
30,46,TRIAL_0046_CDP_NEG,0.7348726948927885,C,False,0.7299275360713129,0.7477203710111391,0.7704282924734827,0.04442767300689312,0.8630611113069036,0.44419041994224673,0.03746844804032994,50.830078125,70.185546875,81377,2512.8093493000197,22f494519533a0406aa4bbf58884c8ca411283320a7d97c50d7ed4c272ea33ee
31,49,TRIAL_0049_CDP_NEG,0.7341049645380788,C,False,0.7275214353685155,0.7496510104803574,0.7689355843028847,0.041967582574261926,0.8660284772293476,0.44388257419285415,0.052249370737148235,75.09765625,80.5078125,58657,2572.335658700016,eb4e2d3da86bc481bc31f4e2384267ecd6fa269ae937581852c12c28001aaa2b
32,76,TRIAL_0076_CDP_NEG,0.7332888972268746,C,False,0.7234720712289572,0.7555017978681978,0.770826684175012,0.04527553288460188,0.8617728900161454,0.4545747539522256,0.028196790496468553,89.84375,92.607421875,90721,196.11210320000828,2c4e13852547a029c292565492b585a4c842747e3a85994839875f2884eabe60
33,67,TRIAL_0067_CDP_NEG,0.7332702740542172,C,False,0.7243352738359716,0.7535646005723509,0.7722294825879924,0.04623218677870353,0.8594457188078639,0.44687731921531126,0.036351222066393886,79.443359375,81.9140625,90529,2115.1183771000215,b42cb95557ed4d037c4fdb6d39bb98dc7e0a8fc37e8899ca68d026b4f72cd885
