trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
2,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,26648,44.60580040000059,0.1053476333618164,0.119140625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.022816055102173438,1.568139589814301,1.1123176990921142,0.06968426958349118,1.0112182655022273,0.23583358613021638,1.5504968664939265,0.04405899142122713,0.00016574693362197542,2.27875715852446,0.0,0.4016202390193939,9.585059160599485e-05,-0.23144599795341492,50.1953125,49.8046875,0.0,-6.143085192888975e-05,-0.0001283566525671631,-0.03916279226541519,0.038744449615478516,-3.6851706681773067e-05,-7.699971320107579e-05,-0.023493317887187004,0.02324235811829567,48.2421875,51.611328125,0.146484375,7.633226050529629e-05,CDP_NEG,10,65395,44.6053877000013,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,1280,1275,99.609375,CDP,1.4710406730757069,20,0.99,1.4710406730757069
2,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,26648,48.80323900000076,0.08888053894042969,0.09765625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.0004469335219929871,1.8404883788092192,1.2651337908888172,0.050503153722324536,0.999563948145758,-0.02846404883319981,1.840659598743979,0.04350732448642006,0.00038143545713602327,2.2336723361548128,0.0,0.5805813074111938,0.0015180467162281275,0.5412403345108032,51.025390625,48.974609375,0.0,-0.0002551809884607792,-0.0017478305380791426,-0.1484486609697342,0.15034367144107819,-0.00015515531413257122,-0.0010627161245793104,-0.09025977551937103,0.09141197800636292,48.095703125,51.85546875,0.048828125,0.00042490800842642784,CDP_NEG,1,65395,48.80286949999936,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,1280,1275,99.609375,CDP,1.4510426770894138,20,0.99,1.4510426770894138
2,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,26648,46.876482400002715,0.0950474739074707,0.1171875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.034769324074675145,1.740346774471639,1.2980755394773364,0.09095588052374541,1.0170580169712902,0.3181073369291358,1.7113269856452031,-0.017221159924221966,-8.630887616605419e-05,2.4573411679144614,0.0,0.5114806294441223,0.00033456081291660666,0.20991629362106323,49.365234375,50.634765625,0.0,0.0008991028880700469,0.0008079647086560726,-0.0664183497428894,0.0693962424993515,0.0005471657495945692,0.0004917019978165627,-0.04042012616991997,0.04223237931728363,49.169921875,50.78125,0.048828125,4.986791464034468e-05,CDP_NEG,5,65395,46.87611000000106,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,1280,1275,99.609375,CDP,1.4524627365104603,20,0.99,1.4524627365104603
2,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,26648,45.069247300001734,0.09892082214355469,0.1171875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0115645755519449,2.1348805137328086,1.4642552659974766,0.06533559547270228,1.005616829374538,0.22799655290830206,2.122985215669949,-0.0049933798389177825,-1.1156984518967168e-05,2.428357591126061,0.0,0.788286566734314,2.735146881605033e-05,-0.20884591341018677,49.951171875,50.048828125,0.0,-0.00011436979548307136,1.9821130990749225e-05,-0.02003483846783638,0.02002689428627491,-6.985248910496011e-05,1.210595655720681e-05,-0.012236479669809341,0.01223162841051817,50.341796875,49.560546875,0.09765625,-1.4721687875862699e-05,CDP_NEG,15,65395,45.068642800000816,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,1280,1275,99.609375,CDP,1.4666426917497317,20,0.99,1.4666426917497317
2,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,26648,46.593649800001,0.09523391723632812,0.1171875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.016006065459784447,1.7746915765475386,1.2724504170220678,0.05568986624125976,1.007790216638544,0.221569751612914,1.7611221138620885,-0.0047812268836019385,-4.338677918866839e-05,2.307946461162744,0.0,0.5345131754875183,0.0016059208428487182,0.49613156914711,51.5625,48.4375,0.0,-0.0032718228176236153,-0.005174536257982254,-0.16296535730361938,0.15378253161907196,-0.00198495015501976,-0.003139288630336523,-0.09886785596609116,0.09329681843519211,49.21875,50.78125,0.0,0.00013180539826862514,CDP_NEG,1,65395,46.5932701999991,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,1280,1257,98.203125,CDP,1.460840537792371,20,0.99,1.460840537792371
3,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,26648,15.05285979999826,0.058465003967285156,0.080078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.38683413984638115,1.2141572407496348,1.0344501055941302,0.05395416392182573,0.7829519686976395,0.8453838292850941,0.8716033514290763,0.838966755062138,0.5858973594807365,1.6915041168357339,0.0,0.11781856417655945,0.03577878326177597,0.11950512230396271,72.0703125,27.9296875,0.0,-0.3149263262748718,-0.004451740067452192,-2.3966567516326904,0.07594659179449081,-0.1889207661151886,-0.0026705488562583923,-1.4377273321151733,0.04555950313806534,40.13671875,59.66796875,0.1953125,7.547191489720717e-05,CDP_NEG,40,39425,15.052521199999319,1024,1024,800,80,80,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,3584,3514,98.046875,CDP,1.4710406730757069,20,0.99,1.4710406730757069
3,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,26648,13.347568299999693,0.05254507064819336,0.060546875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4051331291887612,1.4198420795978683,1.070017995846578,0.03896058439323024,0.7711121521693902,0.6549686643177782,1.2600169038032483,0.7331847368740654,0.48151956216102365,1.828289673893497,0.0,0.13687843084335327,0.036211930215358734,0.1385854035615921,64.35546875,35.64453125,0.048828125,-0.3711424171924591,-0.0031461426988244057,-2.9994051456451416,0.0563758984208107,-0.22566205263137817,-0.0019129181746393442,-1.8236987590789795,0.03427768126130104,45.947265625,53.857421875,0.1953125,2.9427214030874893e-05,CDP_NEG,25,39425,13.347191799999564,1024,1024,800,80,80,85,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,3584,3516,98.10267857142857,CDP,1.4510426770894138,20,0.99,1.4510426770894138
3,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,26648,15.965499699999782,0.054042816162109375,0.05859375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.43480801372481914,1.2862104023292626,1.0578845261885714,0.06722131554395304,0.7516608875825874,0.7235992612651124,1.0635494180604947,0.7993805570406763,0.5118132240691594,1.76785479965407,0.0,0.13073068857192993,0.0237035620957613,0.1318480372428894,68.603515625,31.396484375,0.048828125,-0.40604472160339355,-0.004069208167493343,-2.8592145442962646,0.01779034174978733,-0.24710610508918762,-0.002476392313838005,-1.7400283813476562,0.01082664541900158,45.361328125,54.39453125,0.244140625,2.6607001927914098e-05,CDP_NEG,45,39425,15.965169000002788,1024,1024,800,80,80,105,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,3584,3524,98.32589285714286,CDP,1.4524627365104603,20,0.99,1.4524627365104603
3,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,26648,16.897403800001484,0.05742359161376953,0.078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4336147604592503,1.5974700716939894,1.1689232913554841,0.04888875874437338,0.7524743320218812,0.7664839121502629,1.4017826414123147,0.7707203982300523,0.4605112599781577,1.9535406722776172,0.0,0.16571730375289917,0.03227945417165756,0.16723890602588654,71.044921875,28.955078125,0.048828125,-0.47846144437789917,-0.004539671819657087,-3.2800447940826416,0.05610888823866844,-0.2922251224517822,-0.002772650448605418,-2.0033204555511475,0.034269072115421295,41.552734375,57.958984375,0.48828125,3.9496637327829376e-05,CDP_NEG,55,39425,16.897086999997555,1024,1024,800,80,80,115,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,3584,3537,98.68861607142857,CDP,1.4666426917497317,20,0.99,1.4666426917497317
3,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,26648,21.847022499998275,0.0540471076965332,0.05859375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.38225876517071056,1.3838149990572344,1.105134219786374,0.04342414942322912,0.7858239911188308,0.8160785075222144,1.1177694766819677,0.7841497884055094,0.5102943300961614,1.8377446849392371,0.0,0.13697481155395508,0.025996273383498192,0.13820023834705353,69.3359375,30.6640625,0.244140625,-0.43602287769317627,-0.00083970429841429,-3.043584108352661,0.016584277153015137,-0.26452645659446716,-0.000509431934915483,-1.846482276916504,0.010061352513730526,45.3125,53.61328125,1.07421875,6.674330506939441e-06,CDP_NEG,90,39425,21.846698400000605,1024,1024,800,80,80,150,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,3584,3546,98.93973214285714,CDP,1.460840537792371,20,0.99,1.460840537792371
