trial_number,candidate,seed,fold,delta_R2,delta_RMSE,delta_MAE,delta_PCD,delta_training_time
81,TRIAL_0081_CDP_NEG,42,3,-0.2096668023565862,0.37542196495766356,0.3710190519415858,-12.40234375,81.5201731000052
81,TRIAL_0081_CDP_NEG,42,4,-0.8359614919318832,0.9541835838756697,0.46487955474488757,-9.9609375,83.295011899987
81,TRIAL_0081_CDP_NEG,84,0,-1.3258640423167676,1.2935369756069433,0.4348595566795868,-9.5703125,81.26561120001861
81,TRIAL_0081_CDP_NEG,84,1,-0.28039860950773227,0.40610083645833395,0.3408398896826592,-33.642578125,74.1306936999972
81,TRIAL_0081_CDP_NEG,84,2,-0.24554457454243006,0.36251282350133973,0.2877573546255986,-13.330078125,73.75185099999361
81,TRIAL_0081_CDP_NEG,84,3,-0.27055203428407526,0.4660184344740639,0.3684938221457621,-6.787109375,82.10702460000175
81,TRIAL_0081_CDP_NEG,84,4,-0.49328831095399206,0.6374779698095339,0.4205022948867997,-9.5703125,70.56067749999784
81,TRIAL_0081_CDP_NEG,126,0,-0.7717481060041733,0.8990260394125711,0.4583810203733424,-11.328125,78.16885460000776
81,TRIAL_0081_CDP_NEG,126,1,-0.331647137120241,0.4657857952749629,0.4094979871622942,-9.521484375,84.28505379998383
81,TRIAL_0081_CDP_NEG,126,2,-0.27936991184648463,0.4046912343334146,0.32046741492582737,-10.791015625,79.7358916000012
81,TRIAL_0081_CDP_NEG,126,3,-0.3026295842517372,0.5134635548269888,0.3574396001425723,-21.923828125,77.37479599998917
81,TRIAL_0081_CDP_NEG,126,4,-0.3943838328762564,0.5348587774868704,0.3813452091552759,-11.083984375,66.66852759998439
81,TRIAL_0081_CDP_NEG,168,0,-0.6767869852669004,0.8228023218153847,0.4569542210066709,-13.4765625,91.4415205999976
81,TRIAL_0081_CDP_NEG,168,1,-0.4436398564137302,0.5912729683810234,0.4456601949820656,-12.255859375,75.08787350002241
81,TRIAL_0081_CDP_NEG,168,2,-0.33588957658137436,0.4722950698165521,0.35067248640365356,-9.423828125,70.9942061000038
81,TRIAL_0081_CDP_NEG,168,3,-0.25809454122375364,0.4488094605869266,0.39063687840520117,-9.912109375,89.51447370001551
81,TRIAL_0081_CDP_NEG,168,4,-0.5322795188303079,0.6800293445232332,0.44017207650067997,-8.30078125,92.66985280000517
