candidate,trial_number,config_hash,stage,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,0,84,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,28464,159.5042839000016,0.21206378936767578,0.263671875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.46839186879505545,1.8789141475859172,0.8082522612021926,0.08349432718557753,1.2116219230039489,0.15963260828138595,1.8723528713696285,0.6982418289898349,1.1664303592376999,-0.18042825981348593,1.066468253968254,0.2190059870481491,0.013991555199027061,0.24024029076099396,89.94140625,10.05859375,0.0,-0.26110178232192993,-0.20448803901672363,-0.8747429251670837,0.07530374825000763,-0.15663203597068787,-0.12267006933689117,-0.5247484445571899,0.045173872262239456,54.345703125,45.654296875,0.0,-0.051064327359199524,CDP_NEG,155,76033,159.5035190999988,512,512,600,60,75,215,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,448,444,99.10714285714286,CDP,1.4710406730757069,20,0.99,1.4710406730757069
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,1,84,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,28464,196.30098059999727,0.21926069259643555,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.44372503057432233,1.3730138272350305,0.8072047661971119,0.03767561326553514,0.745679862916443,0.026937262733529487,1.3730414788010297,0.7270551684844,0.7401686208082389,0.6149355629652729,0.8928571428571428,0.2155674546957016,1.3066834071651101e-05,0.2155872881412506,65.4296875,34.5703125,0.048828125,-0.0026064058765769005,-0.0019757652189582586,-0.016014637425541878,0.00838361494243145,-0.001584747340530157,-0.0012013050727546215,-0.009737222455441952,0.005097406916320324,53.22265625,46.77734375,0.0,-0.05832360312342644,CDP_NEG,260,76033,196.30033710000134,512,512,600,60,75,320,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,448,436,97.32142857142857,CDP,1.4510426770894138,20,0.99,1.4510426770894138
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,2,84,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,28464,165.86725399999705,0.21750307083129883,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5302797384526963,1.1725561987750286,0.7354029964915534,0.06128139695351076,0.6852414126923524,0.026881796593356523,1.1724532942423436,0.7915805020382632,0.8719552633540317,0.30077578962328977,1.5056022408963585,0.20761942863464355,0.0011298099998384714,0.2093340903520584,86.669921875,13.330078125,0.048828125,-0.20236220955848694,-0.1426883041858673,-0.6486182808876038,0.08088681101799011,-0.12315130233764648,-0.08683562278747559,-0.39472877979278564,0.049225177615880966,54.4921875,45.5078125,0.0,-0.05755934864282608,CDP_NEG,185,76033,165.8666283000057,512,512,600,60,75,245,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,448,428,95.53571428571429,CDP,1.4524627365104603,20,0.99,1.4524627365104603
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,3,84,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,28464,152.05529870000464,0.21497201919555664,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.473018972592683,1.5408992969727453,0.8420793174946243,0.04715747438021849,0.725827162428783,0.13025241710296634,1.535611546347887,0.7274073080803088,0.6955323430551019,0.8001837124288801,1.1541876294761764,0.261738657951355,0.0015629914123564959,0.2641107439994812,92.626953125,7.373046875,0.0,-0.4382517337799072,-0.34513676166534424,-1.2181165218353271,0.05019603297114372,-0.26766663789749146,-0.21079577505588531,-0.7439769506454468,0.030657734721899033,53.564453125,46.435546875,0.0,-0.05462709814310074,CDP_NEG,120,76033,152.0544052000041,512,512,600,60,75,180,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,448,429,95.75892857142857,CDP,1.4666426917497317,20,0.99,1.4666426917497317
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,4,84,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,28464,151.50983070000075,0.21910619735717773,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.2565367703647954,1.5181143470303877,0.8821911381737141,0.047638466335389755,0.8620882675581087,0.23195513890752262,1.5005588212860383,0.6861660870201696,0.7753230200027071,0.7006956200061174,1.7241379310344827,0.27862799167633057,0.0011735318694263697,0.2804090082645416,88.134765625,11.865234375,0.0,-0.18201586604118347,-0.13691341876983643,-0.5771019458770752,0.05889269709587097,-0.1104254275560379,-0.08306266367435455,-0.3501163423061371,0.03572903573513031,53.857421875,46.142578125,0.0,-0.056565120816230774,CDP_NEG,145,76033,151.50888790000317,512,512,600,60,75,205,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,448,448,100.0,CDP,1.460840537792371,20,0.99,1.460840537792371
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,0,126,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,28464,144.51618959999905,0.21207618713378906,0.263671875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.08716771065157547,1.481431067024447,0.82779822542285,0.06583115592159455,0.9553040837614297,0.20615476911420016,1.4671987303601461,0.7188923361905215,0.9782215254487548,0.2506539037408402,0.7936507936507936,0.23343466222286224,0.004246107302606106,0.23987877368927002,88.18359375,11.81640625,0.0,-0.32034993171691895,-0.23319584131240845,-1.0376527309417725,0.13790443539619446,-0.19217431545257568,-0.13989156484603882,-0.6224762201309204,0.08272732049226761,57.080078125,42.919921875,0.0,-0.09922397881746292,CDP_NEG,120,76033,144.5152220000018,512,512,600,60,75,180,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,448,446,99.55357142857143,CDP,1.4710406730757069,20,0.99,1.4710406730757069
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,1,126,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,28464,182.3347047999996,0.2192234992980957,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.38865458028078703,1.4393734347389897,0.8814425222389757,0.03949652639778425,0.7817195750046962,0.06379852655688602,1.4382646285125265,0.7064004528742396,0.7323768631705975,0.6694295709975951,1.403061224489796,0.25645068287849426,0.001329001970589161,0.2584676444530487,87.744140625,12.255859375,0.0,-0.23990248143672943,-0.18544244766235352,-0.748746931552887,0.0964568480849266,-0.1458655446767807,-0.11275273561477661,-0.4552531838417053,0.05864770710468292,52.978515625,47.021484375,0.0,-0.05781686305999756,CDP_NEG,190,76033,182.33406729999842,512,512,600,60,75,250,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,448,427,95.3125,CDP,1.4510426770894138,20,0.99,1.4510426770894138
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,2,126,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,28464,175.3174558000028,0.2174992561340332,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.4976046216649207,1.2126538158632023,0.77836783245358,0.0633770218730134,0.7086744454184613,0.04483376217806935,1.2120369542204494,0.7726898281561234,0.8398736954695645,0.3873518077126577,1.680672268907563,0.22749264538288116,0.0012255010660737753,0.22935253381729126,89.16015625,10.83984375,0.0,-0.2855098843574524,-0.19849076867103577,-0.925959587097168,0.0694914236664772,-0.17375236749649048,-0.12079526484012604,-0.563510000705719,0.042290303856134415,53.02734375,46.97265625,0.0,-0.03945041447877884,CDP_NEG,190,76033,175.31657689999702,512,512,600,60,75,250,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,448,427,95.3125,CDP,1.4524627365104603,20,0.99,1.4524627365104603
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,3,126,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,28464,189.5502323000037,0.21472597122192383,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.44276803104104134,1.5845092516164323,0.8330488048444974,0.0484921075537636,0.7463692508669186,0.08353182722888593,1.5825401031702941,0.7164812646412687,0.7015888143190843,0.7401368478374882,1.7460787215152411,0.27195295691490173,2.6874529794440605e-05,0.2719937562942505,77.197265625,22.802734375,0.0,-0.015961233526468277,-0.009561268612742424,-0.06989604979753494,0.014357092790305614,-0.009748484008014202,-0.005839641205966473,-0.042689718306064606,0.008768739178776741,54.8828125,45.1171875,0.0,-0.06238646060228348,CDP_NEG,235,76033,189.54956579999998,512,512,600,60,75,295,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,448,440,98.21428571428571,CDP,1.4666426917497317,20,0.99,1.4666426917497317
TRIAL_0081_CDP_NEG,81,ecdcda699534f02c41896d0f7fab07f3b039fb467f8f5c50508f89b89165e7a3,FO_PLUS_LBFGS,COMPLETE,4,126,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,28464,181.6523670999959,0.2190532684326172,0.2734375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.35838071168175833,1.410306291166934,0.8377673858157396,0.04425544683492774,0.8008675431179936,0.2050718322520304,1.3955676087894835,0.7132947547514101,0.7726529008101537,0.6793829461538754,1.221264367816092,0.2524779736995697,0.0005845699924975634,0.253365159034729,88.76953125,11.23046875,0.0,-0.2285546064376831,-0.16422632336616516,-0.6850427389144897,0.07514435797929764,-0.13865956664085388,-0.0996328592300415,-0.415601909160614,0.04558859393000603,52.587890625,47.412109375,0.0,-0.03061712346971035,CDP_NEG,245,76033,181.6513039000056,512,512,600,60,75,305,EARLY_STOPPING,True,15,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,448,436,97.32142857142857,CDP,1.460840537792371,20,0.99,1.460840537792371
