candidate_id,seed,test_blocks,annual_penalty,overall_penalty,x_mean_gap,density_levels,operating_levels,score,test_rows,test_fraction,marginal_coverage,knn_coverage,threshold,failing_marginal_rows,failing_knn_rows,status,rejection_reason,blocks
57,57555,46,0.00771226355881,0.0076606865761,0.0977219689407,4,4,0.159162192498,7628,0.207660686576,1,0.986103828002,1.43382528585,0,106,REJECTED,,
58,58564,46,0.00771226355881,0.0076606865761,0.138758801395,4,4,0.200199024952,7628,0.207660686576,1,0.996198217095,1.44662262539,0,29,REJECTED,,
59,59573,46,0.00569884074002,0.00570059619416,0.0799267664974,4,4,0.125526269688,7556,0.205700596194,1,0.993250397035,1.45008033616,0,51,REJECTED,,
60,60582,45,0.00664252050689,0.00580949010427,0.145976934075,4,4,0.194951946117,7560,0.205809490104,1,0.995238095238,1.43725574815,0,36,REJECTED,,
61,61591,45,0.00664252050689,0.00580949010427,0.129763412191,4,4,0.178738424233,7560,0.205809490104,1,0.997486772487,1.42722559041,0,19,REJECTED,,
62,62600,45,0.00664252050689,0.00580949010427,0.141163878451,4,4,0.190138890493,7560,0.205809490104,1,0.996428571429,1.43158651836,0,27,REJECTED,,
63,63609,45,0.00664252050689,0.00580949010427,0.158597180021,4,4,0.207572192063,7560,0.205809490104,1,0.994973544974,1.42391983347,0,38,REJECTED,,
64,64618,45,0.00664252050689,0.00580949010427,0.12119936992,4,4,0.170174381962,7560,0.205809490104,1,0.990476190476,1.46461503489,0,72,REJECTED,,
65,65627,45,0.00664252050689,0.00580949010427,0.104966352128,4,4,0.15394136417,7560,0.205809490104,1,0.996560846561,1.44767523002,0,26,REJECTED,,
66,66636,45,0.00664252050689,0.00580949010427,0.127725739433,4,4,0.176700751475,7560,0.205809490104,1,0.99537037037,1.42457257762,0,35,REJECTED,,
67,67645,46,0.00749557883508,0.00744289875589,0.0685508493202,4,4,0.128252079605,7620,0.207442898756,1,0.992257217848,1.44571297049,0,59,REJECTED,,
68,68654,45,0.00664252050689,0.00580949010427,0.144456241802,4,4,0.193431253844,7560,0.205809490104,1,0.998941798942,1.43647193922,0,8,REJECTED,,
69,69663,45,0.00664252050689,0.00580949010427,0.09219601488,4,4,0.141171026922,7560,0.205809490104,1,0.992857142857,1.45137647758,0,54,REJECTED,,
70,70672,45,0.00664252050689,0.00580949010427,0.191431504558,4,4,0.2404065166,7560,0.205809490104,1,0.99828042328,1.43089560265,0,13,REJECTED,,
71,71681,45,0.00664252050689,0.00580949010427,0.0994656468731,4,4,0.148440658915,7560,0.205809490104,1,0.995634920635,1.43624866802,0,33,REJECTED,,
72,72690,45,0.00664252050689,0.00580949010427,0.112882450559,4,4,0.161857462601,7560,0.205809490104,1,0.996296296296,1.42116294105,0,28,REJECTED,,
73,73699,45,0.00664252050689,0.00580949010427,0.0896625247807,4,4,0.138637536823,7560,0.205809490104,1,0.992724867725,1.43873944591,0,55,REJECTED,,
74,74708,45,0.00664252050689,0.00580949010427,0.14724545235,4,4,0.196220464392,7560,0.205809490104,1,0.990740740741,1.43123248979,0,70,REJECTED,,
75,75717,46,0.00771226355881,0.0076606865761,0.118995245396,4,4,0.180435468953,7628,0.207660686576,1,0.996198217095,1.45505511448,0,29,REJECTED,,
76,76726,45,0.00664252050689,0.00580949010427,0.164800953479,4,4,0.213775965521,7560,0.205809490104,1,0.994576719577,1.44058365828,0,41,REJECTED,,
77,77735,45,0.00664252050689,0.00580949010427,0.19799987976,4,4,0.246974891802,7560,0.205809490104,1,0.994973544974,1.43761906849,0,38,REJECTED,,
78,78744,45,0.00642583578317,0.00559170228405,0.111562015643,4,4,0.158798034412,7552,0.205591702284,1,0.997086864407,1.43589139161,0,22,REJECTED,,
79,79753,45,0.00642583578317,0.00559170228405,0.152871657888,4,4,0.200107676658,7552,0.205591702284,1,0.998675847458,1.43218114299,0,10,REJECTED,,
repair_1,,,,,,,,,,,,,,,,PROMOTE_TO_DEV,MARGINAL_OR_KNN_GATE,Y2011_B0018;Y2011_B0036;Y2012_B0016;Y2012_B0017;Y2013_B0008;Y2014_B0010;Y2015_B0040
repair_2,,,,,,,,,,,,,,,,REPLACEMENT_TO_TEST,FEASIBLE_DENSE_BLOCK,Y2011_B0030
repair_3,,,,,,,,,,,,,,,,REPLACEMENT_TO_TEST,FEASIBLE_DENSE_BLOCK,Y2012_B0022
repair_4,,,,,,,,,,,,,,,,REPLACEMENT_TO_TEST,FEASIBLE_DENSE_BLOCK,Y2012_B0019
