trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
104,2,2,0.8066537097764033,99.90234375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
105,2,2,0.7426724717508119,70.01953125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
106,2,2,0.8112260390464265,75.732421875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
106,5,5,0.8112260390464265,75.732421875,COMPLETE_FIVE_FOLDS,promotion_completed,0
107,2,2,0.7308119828091001,100.0,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
108,2,2,0.8171494923112242,74.853515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
108,5,5,0.8171494923112242,74.853515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
109,2,2,0.8184695648326936,72.55859375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
109,5,5,0.8184695648326936,72.55859375,COMPLETE_FIVE_FOLDS,promotion_completed,0
110,2,2,0.8095987592068887,64.2578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
110,5,5,0.8095987592068887,64.2578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
111,2,2,0.7964704034325026,74.70703125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
112,2,2,0.820478009034782,84.08203125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
112,5,5,0.820478009034782,84.08203125,COMPLETE_FIVE_FOLDS,promotion_completed,0
113,2,2,0.8030862091572006,86.376953125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
114,2,2,0.7836101709296286,87.40234375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
115,2,2,0.8190516589301728,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
115,5,5,0.8190516589301728,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
116,2,2,0.8033993474946934,79.638671875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
117,2,2,0.8139967990375293,90.673828125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
117,5,5,0.8139967990375293,90.673828125,COMPLETE_FIVE_FOLDS,promotion_completed,0
118,2,2,0.7483968461460291,99.853515625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
119,2,2,0.809805812486141,79.58984375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
119,5,5,0.809805812486141,79.58984375,COMPLETE_FIVE_FOLDS,promotion_completed,0
120,2,2,0.7663489272457817,52.099609375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
121,2,2,0.814504285943967,84.9609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
121,5,5,0.814504285943967,84.9609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
122,2,2,0.8093209990336047,80.37109375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
123,2,2,0.8190455038659435,83.30078125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
123,5,5,0.8190455038659435,83.30078125,COMPLETE_FIVE_FOLDS,promotion_completed,0
