rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_tit_pcd_min,active_tit_pcd_mean,parameter_count,training_time_s,config_hash
21,22,TRIAL_0022_TIT_INC,0.5980090266234397,A,True,0.540009871417747,0.708971373928289,0.7033143065659966,0.09019739062294789,5.743515832200166,3.907561908310593,0.9213822887036972,100.0,100.0,93025,54.96085210000456,b58129b93ad36d8e4a14eb4ca4278ca166de1a6fd996ae232150002365effa99
22,18,TRIAL_0018_TIT_INC,0.41189276444442585,A,True,0.3653770158675306,0.5054020114048987,0.4839842209452848,0.0735247059209061,7.629314652297492,5.661263142790736,1.234804918677074,100.0,100.0,53315,740.9461792000075,5bc1dd0d8c500d8e39a578e7781401b15e069c8836fee836d4e9101bd9121d89
23,68,TRIAL_0068_TIT_INC,0.785581590872164,C,False,0.7609273662690814,0.8332007426347928,0.8264177488413722,0.03576826563860027,4.4127405927190235,2.9385247295117347,0.49491038874747406,50.830078125,66.083984375,55921,485.0969126,4c1ce1e9786913c87b7d05a52b7a446e565b81647549cce7af32167b0c2c8ccf
24,88,TRIAL_0088_TIT_INC,0.7789755355678638,C,False,0.7530840551687329,0.8305067996934852,0.8181912502375933,0.038460624651808356,4.518874255503938,2.9960333298085975,0.5187103345146252,86.669921875,89.0625,106449,313.2080896999996,0cb2542017267b8e151f1698cdf06714568f059b932100f275afd6d573c347b5
25,123,TRIAL_0123_TIT_INC,0.7682257615206508,C,False,0.7400628670492206,0.8240099862905982,0.8139923584621822,0.04414190442279212,4.56306249739316,3.1055675362913453,0.40809387360664956,83.30078125,84.130859375,17153,350.47114650000367,b7d5bdfd0337a09ee681628c2175183da0039545623f4fae1fe41bb6abcec1ea
26,121,TRIAL_0121_TIT_INC,0.7612691954060522,C,False,0.7322640367721994,0.8171125145210443,0.8126598007403967,0.04488961087620424,4.578671630167156,3.055131571702952,0.4468920386864948,79.638671875,83.8671875,6657,330.7748559000065,c3759d2ea47dc2516b54c298857eed6562b9c5060da143326a776cd8ca57822e
27,69,TRIAL_0069_TIT_INC,0.7586280202437122,C,False,0.7238114548401064,0.8261576692836509,0.8122107957759098,0.04727233023037815,4.580253171150936,3.0137053005376657,0.45483900635116675,81.591796875,85.0390625,89905,376.3031801999987,daeb0ea448993866f4d625334ee1ffb2923582d07ec14ce0c807781b9c6e32b4
28,78,TRIAL_0078_TIT_INC,0.7582570115384768,C,False,0.727228146488024,0.8175380140860655,0.8135279734382559,0.04694077923982896,4.566077877505371,3.0178398991552844,0.4587933532116876,94.091796875,97.177734375,83729,350.5017295999987,309551c91076011bb1107d901fdb34a947f3aa7bb174cfb9cc07204f9114e0c1
29,82,TRIAL_0082_TIT_INC,0.7576913938548077,C,False,0.7246936025653179,0.8213274977660426,0.8121916548168221,0.04742182495877966,4.5797711905666985,3.07547392471517,0.6452092562475851,79.58984375,87.392578125,33537,385.3542587000029,0e05c969c454ff8d00689b8d8df0efcad97c5da6186d72a239ca15e0b9506adc
30,106,TRIAL_0106_TIT_INC,0.7572051872489302,C,False,0.7249101800052615,0.8191401419576537,0.8148849014840739,0.0497145348993017,4.542427740360925,3.0553077144918754,0.38261484044952243,70.263671875,78.90625,40465,293.05897000000186,1e46d3aa028fdc8363e3e90329dc36038fc38d1e445ef60738f9ba253b016668
31,110,TRIAL_0110_TIT_INC,0.7556733720410878,C,False,0.7200498075080652,0.8247665132690682,0.8123158082801674,0.050180472724885794,4.573737972907084,3.082436788549108,0.4456200359655026,60.888671875,69.912109375,28113,219.72717360000388,8676595a7a93569bc7dd8562e2f2ff84849d71f01e8441fb915aff58f39e839e
32,108,TRIAL_0108_TIT_INC,0.7528407676261495,C,False,0.7151221776374945,0.8254447209527497,0.8150905550574432,0.05375010747916442,4.534197822970752,2.963434025594356,0.45338732568395884,74.853515625,79.6484375,40465,389.58295380000345,9668163be01a0748271303c5c32210652d04e140496d637e0233fea335bb2ee1
33,98,TRIAL_0098_TIT_INC,0.7492547691328482,C,False,0.7089127460567695,0.8273084245337339,0.8130313526590107,0.05588541127234673,4.5573321611476105,3.019985164656344,0.6603669864512287,83.49609375,85.908203125,35409,1791.049675100001,65ddea5907b0b75d3cd0db8b78a73e7f1f17397b373cff19696aa3f5b7397d81
34,70,TRIAL_0070_TIT_INC,0.7486810345320841,C,False,0.7085284946128262,0.8266178665601647,0.8087320706235863,0.05294629266019669,4.613947557766765,3.0760929849585184,0.4927313633120362,81.34765625,86.23046875,89937,586.6426805000001,cf0a843ca79c7b28d6ae1db0d8c51a19ee1388ac0389b59dd8acd437a4249b09
35,67,TRIAL_0067_TIT_INC,0.7481664075782676,C,False,0.7106020394723512,0.8208695449202214,0.8048118390529686,0.04936863486506508,4.669149782225217,3.111041322540447,0.5314193515916333,81.005859375,85.537109375,54145,500.44705220000014,8ed319c5b9d7b346dd877450dd2a63c7394f504f300100deb1d4656e81c4e2d1
36,41,TRIAL_0041_TIT_INC,0.7478449416423396,C,False,0.7114877974032757,0.8172296618527498,0.810934771435868,0.05310112499037564,4.589720616695239,3.0382992697873457,0.5778995981543261,76.7578125,83.779296875,11505,763.4281489999703,ef9510b9857c1f15285bd484e469e78f4984fab73df6b99b457431b4c1b84488
37,73,TRIAL_0073_TIT_INC,0.7463686520864093,C,False,0.7011335019328429,0.8344369592099085,0.8112667768783737,0.057692145241062816,4.5751542047537095,3.034709497353748,0.6192232408911968,73.53515625,81.09375,101201,1669.2190968000014,bae1ee24635cd4afca3c43d0a0a22c35b4eaa53a529457b0d03245742bae592e
38,117,TRIAL_0117_TIT_INC,0.7462971138791705,C,False,0.7104827321803391,0.8159747085071083,0.7969770746255845,0.044826454437238546,4.7722615170393246,3.2640013218813464,0.7956284658120844,81.8359375,91.953125,15665,287.51335310000286,44950b3272a95fa4f0d4e3f1e6891c8b40120db134594aaba5ab0e70f82bce2a
39,30,TRIAL_0030_TIT_INC,0.7460432386966712,C,False,0.7032461197181372,0.8289348266776131,0.8107649702211475,0.05661378159609742,4.584528956651302,2.9963582265194413,0.4274067354334126,72.4609375,76.38671875,32929,5043.855067000011,a956f40d1e078cca5be1315449a50357ad7b4686b29a192186ae44ef90fc5cf1
40,100,TRIAL_0100_TIT_INC,0.7450247008080128,C,False,0.7026300030831486,0.8264772343664535,0.811451511848543,0.056416225366667336,4.5776860741102485,3.0094064788118695,0.6125077296552585,71.630859375,79.98046875,59457,287.0897987999979,8a5dc6dcb5b02c35118ed2c1ab2bc6641edf7841f0ae473d6e10d0023a85ee28
41,112,TRIAL_0112_TIT_INC,0.7443679041336961,C,False,0.7029040912614475,0.8241095565355345,0.8108028142574369,0.05687699009576484,4.584276380442952,2.9898540714739994,0.5535135208217479,84.08203125,86.474609375,63121,637.3904126000016,c1f592fae19d5bac16154b43cd843a7300630c193c308eb0f403dbe60284f83c
42,92,TRIAL_0092_TIT_INC,0.7439976886596306,C,False,0.7088380651331637,0.8125946145558814,0.7976888712234376,0.04852421909375803,4.759832453282405,3.2135862083985933,0.5381114235170785,82.03125,90.78125,35329,430.09589620000406,adaf666d34fc6d7f76101e21343b15c056ff9b3004a8faa77b8c67569f6ce109
43,90,TRIAL_0090_TIT_INC,0.7437272736520798,C,False,0.7069779455321852,0.8140167824132339,0.8044982877899123,0.051143571701927064,4.672657551669005,3.1375745178178494,0.3775690662785407,81.8359375,86.89453125,33537,184.8528198999993,5cb1d9e0939863c4ece5da995a95f38c10291dda4bd6607082310495c781ed2d
44,109,TRIAL_0109_TIT_INC,0.7436657303543555,C,False,0.700334332015758,0.827173916426956,0.8115502674155046,0.05842070524736586,4.57412005399654,3.0402214281569275,0.3520089974115766,70.556640625,77.666015625,65457,310.243789499993,3583ad29211ed62b91d2f70e80edc9dbb155280f6518a808f5844a2c0743b18f
45,31,TRIAL_0031_TIT_INC,0.7436202854974026,C,False,0.7096974545159264,0.8095326822020543,0.8020644565002508,0.05264437522794639,4.701970432099737,3.0476886952969173,0.5827247316271053,82.421875,88.65234375,25921,722.8032489999896,faff853f07ca3600a21ce48776b1996b97a60aef5affed0eec41d1b794d397a3
46,101,TRIAL_0101_TIT_INC,0.7429820374676995,C,False,0.6990385385408504,0.8272843716515077,0.8128213143735235,0.05908528589615354,4.555777754680377,3.0120488726641765,0.38349924852925354,76.7578125,82.59765625,51505,597.3363031000026,0de50349ae403f53a2395597ebfae27d1b47e351077356bcf04e0f0cfcb36517
47,56,TRIAL_0056_TIT_INC,0.7399160432948629,C,False,0.6990530924243291,0.8186371728245218,0.80175839729056,0.052828037361471396,4.702158048003126,3.190758375565901,0.7463892189083348,75.0,83.76953125,55201,2102.6575605999997,69aaf2901e00f2667147a95b553b4e40fa751bd5899d1114d549922a131d5c92
48,44,TRIAL_0044_TIT_INC,0.7394216451106902,C,False,0.6961317889084275,0.8232548922987648,0.8061121867339353,0.058451145973892796,4.637678670799197,3.124549679397076,0.634868064845796,62.01171875,77.8125,28017,7848.316511999976,8c67b18d3e666c9430329e13588ec4bc0146f3db9cb315712db3752b64f5e9cd
49,102,TRIAL_0102_TIT_INC,0.7392567304763018,C,False,0.6973260872616769,0.8202578233691007,0.803953751775008,0.05611644068935291,4.670225322218604,3.112329412338294,0.7348263869000211,78.7109375,83.30078125,21057,324.4217532999992,c5485f26813803f97ded4f63e74eef0d4551268f1f4d2c82d1c1eebcd7c409a8
50,99,TRIAL_0099_TIT_INC,0.7392488478098902,C,False,0.6922479500039498,0.8302289449213841,0.8108440149343394,0.06253007162328902,4.575171689695768,3.05813296885932,0.4809092757050523,82.91015625,85.25390625,62849,353.1592208000038,01f0d0bea5552e41a6de72c5a5174dcd04cd4577c40360b6454bd9e571112ed5
51,42,TRIAL_0042_TIT_INC,0.7386769157084466,C,False,0.7044806797715439,0.804893609009689,0.7965904776108929,0.051386226184756516,4.766671010576667,3.2193446627310407,0.6766684275220725,79.98046875,87.03125,5489,288.7920557000034,b6c96bb0e593588c1c2938d51e9954aa747dce115a21a1869ed51218c0d01b04
52,72,TRIAL_0072_TIT_INC,0.7373611784514065,C,False,0.6948179710046505,0.8193684757153963,0.804376361755974,0.0577778304160017,4.661714854778917,3.1397388698890794,0.3829233460500508,72.65625,78.046875,136161,536.467875100001,1f71723125d485369c716642fdbfe8c60a47ec2fe79a62cc986aeca3fa565f0e
53,40,TRIAL_0040_TIT_INC,0.7369430311300209,C,False,0.6864483341724062,0.8344627879498776,0.8132718681972124,0.06591992578107408,4.53707854692861,3.0010315216164973,0.6284004435186951,85.546875,91.767578125,35249,690.507938499999,dbbec4a7a300ae69c9acc17916144b5470687d1e18cfb6052e9342d98b9d7661
54,14,TRIAL_0014_TIT_INC,0.7367057378412575,C,False,0.6933566877446081,0.819737199466413,0.8097108653582714,0.06200521181258467,4.588794443026385,3.0217249716083896,0.5877655354888796,79.931640625,90.05859375,23329,985.5025148000132,86e1007a83039f12760eeb3bd18b78c005aca235f33d601f3df4f4333288dc0f
55,59,TRIAL_0059_TIT_INC,0.7362151688273957,C,False,0.690560419891265,0.8242842213630672,0.8057023434463249,0.059765838609160155,4.641746850711556,3.0045062771718074,0.4753308872752967,71.142578125,75.048828125,79169,352.05087710000134,92e6aecdbc4b98f16cae8113865c68aa40407b4644534931b0b4635943aefaa4
56,89,TRIAL_0089_TIT_INC,0.7350800090330428,C,False,0.6923292738490359,0.8173447118603961,0.8022728119843758,0.05748250032935101,4.6889275165065,3.04006623168564,0.6740249792015586,93.212890625,95.46875,93009,291.58220319999964,3e0cbeff3613b4eac056782104fc616d56750df39aabe1396e71c0a74903f036
57,81,TRIAL_0081_TIT_INC,0.7341085726405565,C,False,0.6887738489855222,0.8214123006779113,0.8048545890462003,0.06064885858750147,4.652224504946041,3.031712028554327,0.6865062855572365,94.04296875,96.09375,119681,378.9003236999961,8fbb755f3e51bb92143f463dcf47eb917069fe5c79217f038c33d5bba38dd4a2
58,58,TRIAL_0058_TIT_INC,0.733849627573563,C,False,0.6886537243829629,0.821721339679952,0.7996083039033735,0.05819839350537698,4.725149244839562,3.207383059443172,0.7388634054463123,74.31640625,82.67578125,55201,2554.2076777000007,2018575c3b3e70e99dd7d252129ee97c35d13fe0832b997c50c8e6997ea8b0dc
59,96,TRIAL_0096_TIT_INC,0.7330833626699926,C,False,0.6930257697190935,0.8104842762939016,0.7986133140826797,0.057387134579018506,4.734356754160825,3.129726776348268,0.6053014698970359,89.74609375,93.447265625,76513,374.39289519999875,6a67adc50c2eed569853a00a9b0fa348877c8a0b8d94fde4771459cf7ee79ce8
