trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_tit_mean,g_star_tit_median,g_star_tit_q05,g_star_tit_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_tit_delta_x,physical_scale_nox_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
4,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,15872,20.021617300008074,0.041666507720947266,0.056640625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.3905438253595569,7.924576242011222,6.10928092197496,0.10451828900835272,0.7805107636139372,3.0996718163392982,7.294763057344205,0.7061151564155681,0.41266526542230025,42.15369814270228,0.0,0.21224364638328552,0.018413851037621498,0.21311165392398834,81.103515625,18.896484375,0.0,0.5379921197891235,0.027493126690387726,-0.027413085103034973,2.8963382244110107,0.7783828973770142,0.03977786749601364,-0.039662063121795654,4.190507411956787,58.0078125,41.9921875,0.0,-0.020978687331080437,TIT_INC,65,39425,20.021262200010824,1024,1024,800,80,80,125,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,3584,3515,98.07477678571429,TIT,1.4510426770894138,20,0.99,1.4510426770894138
4,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,15872,16.428467800011276,0.04321908950805664,0.0546875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.02211750698127357,10.62094053227243,8.847472210892109,0.12746862426746813,0.9887062744758108,7.1567407455764895,7.849013363020607,0.7116918069226051,0.3634937417433268,46.36036935054118,0.0,0.38225093483924866,0.019983872771263123,0.3831929564476013,70.166015625,29.833984375,0.048828125,0.242862731218338,0.004653684329241514,-0.020499395206570625,1.8081674575805664,0.35810285806655884,0.0068618920631706715,-0.030226510018110275,2.666156530380249,55.712890625,44.287109375,0.0,-0.007344033569097519,TIT_INC,45,39425,16.4281212999922,1024,1024,800,80,80,105,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.622398376464815,3584,3534,98.60491071428571,TIT,1.4524627365104603,20,0.99,1.4524627365104603
4,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,15872,16.92352419999952,0.04401826858520508,0.0546875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.2125448527120687,10.023203056052298,7.643257600592946,0.10878822188805105,0.8872553766782151,4.943138577522488,8.72080775509489,0.6636450095087886,0.3138823855047273,48.89973303037212,0.0,0.3288150727748871,0.021508056670427322,0.3298289179801941,72.75390625,27.24609375,0.0,0.3391570448875427,0.008973494172096252,-0.05147060006856918,2.118115186691284,0.5059423446655273,0.013386337086558342,-0.0767819955945015,3.1597282886505127,65.869140625,34.130859375,0.0,-0.052742183208465576,TIT_INC,50,39425,16.923007300007157,1024,1024,800,80,80,110,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.19874954223633,3584,3536,98.66071428571429,TIT,1.4666426917497317,20,0.99,1.4666426917497317
4,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,15872,22.682700000004843,0.04321575164794922,0.056640625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.2727778962339352,8.928639305993173,6.937508237772975,0.11922337994338693,0.8526200143850378,3.0299095394967615,8.40033302174579,0.6023438004226126,0.315024642431548,48.217166270662155,0.0,0.26322412490844727,0.019515184685587883,0.26414403319358826,81.8359375,18.1640625,0.048828125,0.4352729320526123,0.024524513632059097,-0.017938459292054176,2.2794461250305176,0.6368280649185181,0.03588069975376129,-0.026244942098855972,3.334953784942627,62.548828125,37.451171875,0.0,-0.02598847821354866,TIT_INC,85,39425,22.682329999996,1024,1024,800,80,80,145,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,36.704002380371094,3584,3548,98.99553571428571,TIT,1.460840537792371,20,0.99,1.460840537792371
5,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15872,6.908072399994126,0.30439329147338867,0.384765625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7031202317025443,5.786273552895975,4.060327415428464,0.07492552428193117,0.5447991716243157,1.8838592493344868,5.471696393194879,0.8583831867899776,0.7773816143628555,15.499735227926813,0.0,0.11326298862695694,0.0006037990679033101,-0.03450317308306694,98.095703125,1.904296875,0.0,0.527446448802948,0.4958013594150543,0.0991869866847992,1.0496208667755127,0.7782242894172668,0.7315332889556885,0.1463460773229599,1.5486699342727661,76.66015625,23.33984375,0.0,-3.8100759983062744,TIT_INC,480,54915,6.907728100006352,FULL_BATCH,25813,500,250,250,500,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,640,624,97.5,TIT,1.4710406730757069,20,0.99,1.4710406730757069
5,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,15872,7.60115709999809,0.3216066360473633,0.421875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7723331436727903,4.843448795363904,3.4790362744104293,0.06388088971966578,0.47704303704636275,-1.0969220391747092,4.7186041135508905,0.88559975758452,0.7990129701891983,12.267437824766098,0.0,0.07790176570415497,0.0015165061922743917,-0.07085645198822021,97.75390625,2.24609375,0.0,0.6212248802185059,0.5954564809799194,0.15707361698150635,1.2259604930877686,0.8988065719604492,0.8615239858627319,0.22725875675678253,1.7737557888031006,78.41796875,21.58203125,0.0,-3.844599962234497,TIT_INC,440,54915,7.6007804999971995,FULL_BATCH,27493,500,250,250,500,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,640,639,99.84375,TIT,1.4510426770894138,20,0.99,1.4510426770894138
5,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,15872,7.418927900012932,0.3158411979675293,0.408203125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7914936349347261,4.904325654493193,3.4414983009423863,0.0588599137937309,0.45654502366681093,0.5696683036846941,4.871981028616064,0.8913187434377571,0.7838188368244957,13.88467647930603,0.0,0.0836048424243927,0.000706177786923945,-0.06603085994720459,98.193359375,1.806640625,0.0,0.5383865833282471,0.503135085105896,0.09635273367166519,1.1154025793075562,0.7938550710678101,0.7418764233589172,0.14207282662391663,1.6446694135665894,78.02734375,21.97265625,0.0,-4.061073303222656,TIT_INC,480,54915,7.418578099997831,FULL_BATCH,26989,500,250,250,500,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.622398376464815,640,621,97.03125,TIT,1.4524627365104603,20,0.99,1.4524627365104603
5,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,15872,7.354910200010636,0.3097529411315918,0.41015625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7213471371803927,5.96245851266859,4.066069633165525,0.06471436885465658,0.527797685430668,-0.06107122822603766,5.963028170718977,0.850145205155412,0.6912742829196187,19.717653084004866,0.0,0.11523263156414032,0.0017102474812418222,-0.030999988317489624,95.849609375,4.150390625,0.0,0.4989440441131592,0.4664519429206848,0.022388970479369164,1.065832257270813,0.7443068623542786,0.6958363056182861,0.0333990640938282,1.589970350265503,70.556640625,29.443359375,0.0,-3.1063010692596436,TIT_INC,450,54915,7.354510199991637,FULL_BATCH,26466,500,250,250,500,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.19874954223633,640,623,97.34375,TIT,1.4666426917497317,20,0.99,1.4666426917497317
5,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,15872,7.002850100005162,0.3161191940307617,0.408203125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6211456990963187,6.444479618820784,4.410252691685469,0.08605260172357457,0.6154008597496884,-1.0818976835272778,6.354157504202963,0.795988106121965,0.6671220850490885,20.877782525141704,0.0,0.1360054910182953,0.0006907277274876833,-0.0099748894572258,97.65625,2.34375,0.0,0.543255090713501,0.5075350999832153,0.08800563216209412,1.139641523361206,0.7948117256164551,0.7425514459609985,0.1287570297718048,1.6673575639724731,75.830078125,24.169921875,0.0,-3.545236825942993,TIT_INC,460,54915,7.002475000001141,FULL_BATCH,27061,500,250,250,500,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,36.704002380371094,640,634,99.0625,TIT,1.460840537792371,20,0.99,1.460840537792371
6,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15872,209.59536269999808,0.10090351104736328,0.11328125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.675626388375366,6.0482734586575715,3.982313151397402,0.07831811886314992,0.5694674370147634,1.4124692631146265,5.881761857724233,0.833452679724533,0.7249981829248245,18.232241917859646,0.0,0.14875906705856323,0.025117821991443634,0.15742720663547516,93.798828125,6.201171875,0.0,0.32793188095092773,0.24358856678009033,-0.02327463962137699,1.0473382472991943,0.4838491678237915,0.3594043254852295,-0.034340716898441315,1.5453020334243774,64.16015625,35.83984375,0.0,-1.540851354598999,TIT_INC,220,138401,209.59492830000818,256,256,400,40,75,280,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,2560,2532,98.90625,TIT,1.4710406730757069,20,0.99,1.4710406730757069
