rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_cdp_violation_max,active_cdp_pcd_min,parameter_count,training_time_s,config_hash
11,40,TRIAL_0040_CDP_NEG,A,0.5205923183876928,0.6966405150884292,0.641579853426752,0.5946261059720829,1.3667282063680217,0.7471413629755167,0.08566604292399367,0.3367966160018154,0.68359375,99.31640625,9025,195.82637250004336,b0c5f881aa8f6f5a315e7917f2fe80ded7acd35b4b55cd03a47a76ba48e7bc7b
12,1,ANCHOR_CO_INTERP_R4_TRANSFER,A,0.5145555607040956,0.6793838697126668,0.630400727050946,0.6043533756064507,1.3868596904984365,0.708486979004784,0.08223944925686767,0.29836626640121505,0.390625,99.609375,38593,110.73735349992057,5ff1525f5d8b263015755258e55e29da1520941bd64347304f6a8d20b850d22f
13,53,TRIAL_0053_CDP_NEG,A,0.510225004256603,0.6971520202104928,0.649460999079749,0.5863167259181811,1.3511560614932963,0.6995972607452697,0.1000692726052421,0.3687010929152361,0.68359375,99.31640625,33921,211.1178091999609,cf5669821cc097b6798e5c6b947f6b6d47cfc11070909434b7a004131df7b8dd
14,9,TRIAL_0009_CDP_NEG,A,0.4954316979912369,0.591885949930014,0.5929468802866594,0.6348149355758576,1.4507282413481575,0.7795973841261977,0.08005745090646742,0.45920692673016417,0.0,100.0,14337,61.25871919997735,cdb4874d4c5430c095ab9d2d6b5bb2d05e3f9d46a9b460ae863f6085e15acfe4
15,5,TRIAL_0005_CDP_NEG,A,0.49182939491405775,0.6336049098903596,0.6102313276625394,0.6203131978515447,1.4205301424828745,0.745302668469908,0.0886862060439584,0.3971052116366965,0.0,100.0,9089,87.87929669994628,d392bc777a22acb5aac213c399c8239d03c84242e26ff8671a9c91fbb5ec4936
16,47,TRIAL_0047_CDP_NEG,A,0.4890256811070032,0.6338397950697603,0.6082831536026725,0.6219058483392507,1.4243902540065614,0.7482244326172552,0.08879814638564508,0.32987254262743454,0.146484375,99.853515625,35937,253.4770031000371,de87b8408a6b6a11531add544640818c869d61af0451e1de45bf357d0c9204cb
17,15,TRIAL_0015_CDP_NEG,A,0.4841639713448068,0.6322322691112712,0.6105319957149349,0.6193986228347613,1.418430135799431,0.747838794838764,0.09555995943663981,0.3647299739371886,0.09765625,99.90234375,22209,62.91541010001674,f41da415db5fe79c0b1fabc65b74ac873047cc51182897083ad46e4d2468ecc2
18,2,ANCHOR_CDP_TANH_COMPACT,A,0.4650432089645249,0.6081025865356875,0.5847283097326404,0.6406865180329515,1.4669078554346058,0.7749458483617047,0.08971557831051385,0.4419231381115119,0.048828125,99.951171875,4865,57.008302300062496,9522318636f11548cbd8539c794d52689aea520b60e10a1ea73cf8de31b611d0
19,3,ANCHOR_CDP_SILU_COMPACT,A,0.45914590686831247,0.641979437280642,0.5946829303248026,0.632247387579648,1.450398297236279,0.7887798986590004,0.09728588977847802,0.42814048230272234,0.0,100.0,10369,39.67334239993943,80644fcfadfff762bc7f4f37bb7e15b4a6bca2fa4db38502e1e7cae25113a95b
20,33,TRIAL_0033_CDP_NEG,B,0.5850125475520039,0.6857590177978211,0.6740384166026842,0.5677684893894561,1.2991193523969307,0.7216905471159625,0.06840828967998343,0.2858431518283379,4.443359375,95.556640625,57697,227.85650480003096,3e72884de7131cad5cebb16aaf98ac1aeb162a17e1088e3edd026290b5518a57
21,4,TRIAL_0004_CDP_NEG,B,0.5755981854021412,0.7098730890982372,0.6703688899134561,0.5712589639622291,1.3102476489166595,0.7152431595978416,0.06732125666733994,0.26061243867359407,4.6875,95.3125,13249,185.64883190003457,265f77544947b65a6bb7269cc3555925a1e7017ebf3e83cf7f8818eb547ac4b1
22,54,TRIAL_0054_CDP_NEG,B,0.5745926562806227,0.6789984055750033,0.6518830609004885,0.5881742142901669,1.3469382815869597,0.7820556864338567,0.05545744676067675,0.35897780141513685,1.07421875,98.92578125,35873,152.85809800005518,b14956c6dc890f0d6bc80070c012b6fbe029a4c8ee3a8e7727fbedb1dc1f37ab
23,45,TRIAL_0045_CDP_NEG,B,0.5610082402571992,0.6418907589368708,0.6429796688266051,0.594758958547052,1.3590936736019248,0.7477000578065315,0.06737833640818607,0.35389202986956175,1.07421875,98.92578125,50273,284.2417494999827,f412f96abc3bb844ec5cc1c695d123066cf79a400fde195f2a2faab638c93ed1
24,18,TRIAL_0018_CDP_NEG,B,0.552395966477397,0.664572557197717,0.6433250910516178,0.5945962959701321,1.3612384950283094,0.7750161702553245,0.06726835321991369,0.3583786315874227,4.39453125,95.60546875,13313,118.24735129997134,9c1b887b0244571e3c163c2f7a2eb31e94761344c6a53cbfb1bbb9fc7e17e242
25,36,TRIAL_0036_CDP_NEG,B,0.5500628345337801,0.6495324610421843,0.6386300856284635,0.598431224722657,1.3688399154634616,0.7745998490288749,0.06830044575420613,0.41511721409977387,2.5390625,97.4609375,63905,45.16805040003965,2d472cd9d4c2b9e4055c83cf0a586f37f976e60ffbc80a2db438ebeee5a4a8d2
