trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
3,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,16.37441700004274,0.02320384979248047,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6829234468254533,1.331015854720852,0.837711372524729,0.037985650484930154,0.5630561421426676,-0.49387326600786374,1.2360849631135014,0.8530340279180286,0.7558189498994118,0.17103924000775006,0.0,100.0,0.0,0.0,-0.44771701097488403,-0.3328596353530884,-1.0497236251831055,-0.22132013738155365,-0.3169978857040405,-0.23567523062229156,-0.7432377934455872,-0.1567017138004303,100.0,0.0,0.0,-0.048486094921827316,CDP_NEG,55,10369,16.37415049999254,512,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,630,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
3,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,16.373505499970634,0.023528575897216797,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.641979437280642,1.2007642305684454,0.6179611237979256,0.03448652475867963,0.5983063979904315,0.102066148581355,1.1965020857211457,0.8073658399602437,0.7206951902567055,0.6833281226976383,0.0,100.0,0.0,0.0,-0.29549044370651245,-0.27551260590553284,-0.44505274295806885,-0.18105988204479218,-0.18518227338790894,-0.17266227304935455,-0.27891215682029724,-0.11346925050020218,100.0,0.0,0.0,-0.035899028182029724,CDP_NEG,5,10369,16.37318969995249,512,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,635,99.21875,CDP,1.425508144193831,20,0.99,1.425508144193831
4,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,44.75730450003175,0.025112152099609375,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5755981854021412,1.6116854320780847,0.7986172639110364,0.036549888115739795,0.6514185883390154,-0.3647002847045429,1.5699830463312945,0.7728781228625811,0.5947832145342445,0.5920704204998256,0.0,97.75390625,2.24609375,0.0,-0.4220116138458252,-0.3279317319393158,-1.1671791076660156,-0.049006249755620956,-0.4101726710796356,-0.3187320828437805,-1.1344355344772339,-0.04763144999742508,85.986328125,14.013671875,0.0,-0.017182212322950363,CDP_NEG,70,13249,44.75699650001479,128,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
4,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,65.34898030001204,0.025207996368408203,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7256353952399898,1.2381270331645065,0.7169482866474021,0.035334711131291587,0.5237616278600684,-0.3456464635528066,1.1889847498352009,0.8656268467079697,0.7907495369649468,0.2241489800504148,0.0,95.3125,4.6875,0.0,-0.44890424609184265,-0.36358243227005005,-1.1834748983383179,-0.00999440997838974,-0.31783854961395264,-0.2574279308319092,-0.8379380106925964,-0.007076360750943422,87.109375,12.841796875,0.048828125,-0.018913883715867996,CDP_NEG,45,13249,65.34868629998527,128,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,630,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
4,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,75.5434289999539,0.025529861450195312,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7098730890982372,1.0809304815073872,0.6301639282350862,0.031044841996391504,0.5385966756876034,0.07149056776343267,1.0786391169968808,0.8491415388159376,0.8055263743972885,0.476210141462421,0.0,99.4140625,0.5859375,0.0,-0.4423640966415405,-0.4210147261619568,-0.8114383816719055,-0.15035957098007202,-0.2772271931171417,-0.263847678899765,-0.5085240602493286,-0.09422954171895981,85.25390625,14.74609375,0.0,-0.01903315633535385,CDP_NEG,20,13249,75.5431491000345,128,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,635,99.21875,CDP,1.425508144193831,20,0.99,1.425508144193831
5,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,11.774438399996143,0.025031089782714844,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.49182939491405775,1.763585153964161,0.8687213951325353,0.039994678103442,0.7128141314336327,-0.5531772826975905,1.6746925569463036,0.7397631104419228,0.4927730327763704,0.6444530241798067,0.2884111169375983,100.0,0.0,0.0,-0.4673396348953247,-0.3964974284172058,-0.9216822385787964,-0.2054525464773178,-0.45422905683517456,-0.3853743076324463,-0.8958257436752319,-0.1996888667345047,100.0,0.0,0.0,-0.03584948927164078,CDP_NEG,1,9089,11.774118100001942,256,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,320,315,98.4375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
5,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,46.195104100042954,0.025125980377197266,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7052596781832008,1.2832785679042598,0.761009322815331,0.03662328362379744,0.5428619630455708,-0.4860441061356615,1.187755136366386,0.8664382323325961,0.701900323684619,0.3256904766243548,0.0,100.0,0.0,0.0,-0.7052819728851318,-0.6912262439727783,-0.9494384527206421,-0.5047509670257568,-0.49936211109161377,-0.48941025137901306,-0.6722326874732971,-0.3573797941207886,99.8046875,0.1953125,0.0,-0.04141154885292053,CDP_NEG,120,9089,46.19481389998691,256,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,320,315,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
5,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,36968,29.91064690001076,0.02544879913330078,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6336049098903596,1.2147267055802027,0.6061772874618576,0.034887533739399734,0.6052634990754306,0.15209424607683747,1.2052515288129115,0.8022332048064205,0.6957489203010963,0.7852719682053451,0.0,100.0,0.0,0.0,-0.517966628074646,-0.4764527678489685,-0.8188735246658325,-0.3685401380062103,-0.32460689544677734,-0.29859036207199097,-0.5131836533546448,-0.2309621274471283,100.0,0.0,0.0,-0.04047239199280739,CDP_NEG,1,9089,29.910364699957427,256,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,320,319,99.6875,CDP,1.425508144193831,20,0.99,1.425508144193831
6,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,35.36285550001776,0.027094364166259766,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5168333087380015,1.7196503714426417,0.7943138523868153,0.03899832276412471,0.6950563646638186,-0.43123459737040015,1.6648115410671953,0.772126191749179,0.425328382172517,0.9256414965400827,0.0,89.599609375,10.400390625,0.0,-0.17748810350894928,-0.17448186874389648,-0.41338735818862915,0.04860866069793701,-0.17250892519950867,-0.16958704590797424,-0.40179041028022766,0.04724501818418503,94.23828125,5.76171875,0.0,-0.021778441965579987,CDP_NEG,135,23329,35.3625726000173,256,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,320,315,98.4375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
6,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,36968,41.03760539996438,0.026848793029785156,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.696759850034556,1.3016508785576477,0.767247726216233,0.03714760808515144,0.5506339533806617,-0.4604619491248448,1.217570155896405,0.8573191214841989,0.7495591897299069,0.22149607626931156,0.0,95.361328125,4.638671875,0.0,-0.2509515583515167,-0.20858263969421387,-0.6293926239013672,-0.0032487954013049603,-0.17768171429634094,-0.14768315851688385,-0.4456300139427185,-0.002300251042470336,99.951171875,0.048828125,0.0,-0.0407993346452713,CDP_NEG,55,23329,41.03731849999167,256,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,320,315,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
6,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,15000,69.88492650003172,0.027176380157470703,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6684996655586644,1.1554355944005155,0.6813691238819265,0.033184664581896665,0.5757204378651751,0.24671189675159186,1.1288678768393612,0.8311713255714409,0.7615312213793175,0.7429898991016196,0.0,84.912109375,15.087890625,0.0,-0.2142336666584015,-0.21775507926940918,-0.5606337785720825,0.12374047935009003,-0.13425907492637634,-0.13646593689918518,-0.3513461649417877,0.07754749059677124,83.30078125,16.69921875,0.0,-0.02557206153869629,CDP_NEG,90,23329,69.88459780003177,256,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,320,319,99.6875,CDP,1.425508144193831,20,0.99,1.425508144193831
7,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,18.75888149999082,0.02709054946899414,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.546303078077546,1.6663820573190284,0.7760843268130341,0.03779030109774917,0.6735261272496467,-0.36730366063800673,1.6255040977869548,0.7782085457695256,0.45538679231305623,0.9186005305798713,0.23597273203985317,99.462890625,0.537109375,0.0,-0.3019765615463257,-0.28758764266967773,-0.5775393843650818,-0.09211454540491104,-0.29350507259368896,-0.27951979637145996,-0.5613373517990112,-0.08953040838241577,90.52734375,9.47265625,0.0,-0.03317748382687569,CDP_NEG,165,22465,18.758587099961005,512,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
7,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,36968,19.18054229998961,0.02684497833251953,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7170098350782715,1.2574387381038017,0.7411091302066283,0.035885844817258095,0.5319310076933369,-0.4273942702567576,1.1826588193456353,0.865909217208019,0.7582791895398368,0.2308189275855152,0.0,99.31640625,0.68359375,0.0,-0.28525298833847046,-0.2624136805534363,-0.55587238073349,-0.08534759283065796,-0.20196819305419922,-0.18579724431037903,-0.3935753405094147,-0.060428816825151443,97.705078125,2.294921875,0.0,-0.039722226560115814,CDP_NEG,55,22465,19.18026730004931,512,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,630,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
7,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,15000,23.771468300023116,0.027172565460205078,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6521191598622342,1.1836383066045517,0.6870744592251669,0.03399466000641558,0.589773040968092,0.33375923857227197,1.1356868403635874,0.8490414839072497,0.8929816831381978,0.5564753392468905,0.0,98.828125,1.171875,0.0,-0.3029910922050476,-0.32229238748550415,-0.5435336828231812,-0.05855489894747734,-0.18988290429115295,-0.2019789218902588,-0.3406296372413635,-0.03669603914022446,86.279296875,13.720703125,0.0,-0.03149154782295227,CDP_NEG,45,22465,23.77119350002613,512,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,635,99.21875,CDP,1.425508144193831,20,0.99,1.425508144193831
8,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,47312,5.8269567000097595,0.025051116943359375,0.044921875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.48266465461937935,1.7794170187704341,0.8338276354405432,0.040353713977202235,0.7192131289163977,-0.5812252804275683,1.681925371086278,0.7343797663438919,0.5113181293693725,0.5726175877706164,0.0,100.0,0.0,0.0,-0.21059131622314453,-0.2037034034729004,-0.34747639298439026,-0.0932840034365654,-0.20468349754810333,-0.19798880815505981,-0.33772847056388855,-0.09066705405712128,100.0,0.0,0.0,-0.04060237482190132,CDP_NEG,1,9601,5.826693399983924,512,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
