pollutant,model_family,physical_variable,grid_value,pdp_prediction
NOx,PINN densa,TIT,1039.903997,42.06276443
NOx,PINN densa,TIT,1040.699997,42.31861356
NOx,PINN densa,TIT,1041.495997,42.56451793
NOx,PINN densa,TIT,1042.291998,42.82243731
NOx,PINN densa,TIT,1043.087998,43.08155358
NOx,PINN densa,TIT,1043.883998,43.33051269
NOx,PINN densa,TIT,1044.679999,43.58670165
NOx,PINN densa,TIT,1045.475999,43.85034711
NOx,PINN densa,TIT,1046.272,44.11027475
NOx,PINN densa,TIT,1047.068,44.37270235
NOx,PINN densa,TIT,1047.864,44.63800811
NOx,PINN densa,TIT,1048.660001,44.90671084
NOx,PINN densa,TIT,1049.456001,45.17955957
NOx,PINN densa,TIT,1050.252001,45.45679054
NOx,PINN densa,TIT,1051.048002,45.74483944
NOx,PINN densa,TIT,1051.844002,46.03036875
NOx,PINN densa,TIT,1052.640002,46.31928001
NOx,PINN densa,TIT,1053.436003,46.6114362
NOx,PINN densa,TIT,1054.232003,46.90661877
NOx,PINN densa,TIT,1055.028004,47.20462095
NOx,PINN densa,TIT,1055.824004,47.50464252
NOx,PINN densa,TIT,1056.620004,47.81328765
NOx,PINN densa,TIT,1057.416005,48.11720864
NOx,PINN densa,TIT,1058.212005,48.42331131
NOx,PINN densa,TIT,1059.008005,48.73132954
NOx,PINN densa,TIT,1059.804006,49.04093233
NOx,PINN densa,TIT,1060.600006,49.35194736
NOx,PINN densa,TIT,1061.396006,49.66481373
NOx,PINN densa,TIT,1062.192007,49.97946364
NOx,PINN densa,TIT,1062.988007,50.29931052
NOx,PINN densa,TIT,1063.784008,50.61715047
NOx,PINN densa,TIT,1064.580008,50.94033856
NOx,PINN densa,TIT,1065.376008,51.26239537
NOx,PINN densa,TIT,1066.172009,51.58755336
NOx,PINN densa,TIT,1066.968009,51.92015288
NOx,PINN densa,TIT,1067.764009,52.25385445
NOx,PINN densa,TIT,1068.56001,52.59331589
NOx,PINN densa,TIT,1069.35601,52.9392406
NOx,PINN densa,TIT,1070.15201,53.29657289
NOx,PINN densa,TIT,1070.948011,53.65842024
NOx,PINN densa,TIT,1071.744011,54.02959281
NOx,PINN densa,TIT,1072.540012,54.41338376
NOx,PINN densa,TIT,1073.336012,54.8070419
NOx,PINN densa,TIT,1074.132012,55.21634107
NOx,PINN densa,TIT,1074.928013,55.63944942
NOx,PINN densa,TIT,1075.724013,56.08432612
NOx,PINN densa,TIT,1076.520013,56.55142533
NOx,PINN densa,TIT,1077.316014,57.04712807
NOx,PINN densa,TIT,1078.112014,57.57640174
NOx,PINN densa,TIT,1078.908015,58.1433488
NOx,PINN densa,TIT,1079.704015,58.75041394
NOx,PINN densa,TIT,1080.500015,59.39758431
NOx,PINN densa,TIT,1081.296016,60.08480539
NOx,PINN densa,TIT,1082.092016,60.81274149
NOx,PINN densa,TIT,1082.888016,61.5777417
NOx,PINN densa,TIT,1083.684017,62.37224447
NOx,PINN densa,TIT,1084.480017,63.18442348
NOx,PINN densa,TIT,1085.276017,64.00870039
NOx,PINN densa,TIT,1086.072018,64.85211864
NOx,PINN densa,TIT,1086.868018,65.70424553
NOx,PINN densa,TIT,1087.664019,66.57117799
NOx,PINN densa,TIT,1088.460019,67.44408352
NOx,PINN densa,TIT,1089.256019,68.31069987
NOx,PINN densa,TIT,1090.05202,69.16821537
