pollutant,model_family,configuration_id,source,validation_R2,serialized_size_bytes,serialized_size_MiB,size_basis,pareto_nondominated_validation
CO,XGBoost,ANCHOR_COMPACT_log1p,ANCHOR,0.746391736606,1006511,0.95988368988,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0011,OPTUNA,0.739300209478,649938,0.619829177856,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0009,OPTUNA,0.743863248827,434113,0.414002418518,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0030,OPTUNA,0.747844970031,121461598,115.834806442,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0015,OPTUNA,0.744017101565,1208848,1.15284729004,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0007,OPTUNA,0.73827519204,556111,0.530348777771,measured_median_ubj_bytes_across_validation_folds,False
CO,XGBoost,OPTUNA_0000,OPTUNA,0.734545657612,2490525,2.37514972687,measured_median_ubj_bytes_across_validation_folds,False
NOx,PINN densa,TRIAL_0003,OPTUNA_AUTONOMOUS_R6,-0.0910841258622,271717,0.259129524231,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0004,OPTUNA_AUTONOMOUS_R6,0.155463772412,167837,0.160061836243,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0005,OPTUNA_AUTONOMOUS_R6,0.721887969317,229797,0.219151496887,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0008,OPTUNA_AUTONOMOUS_R6,-0.0910550719174,271717,0.259129524231,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0009,OPTUNA_AUTONOMOUS_R6,0.155470960649,167837,0.160061836243,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0010,OPTUNA_AUTONOMOUS_R6,0.721882341645,229797,0.219151496887,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0011,OPTUNA_AUTONOMOUS_R6,0.710394087311,563741,0.537625312805,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0012,OPTUNA_AUTONOMOUS_R6,0.730807577966,42909,0.0409212112427,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0013,OPTUNA_AUTONOMOUS_R6,0.765760052219,126493,0.120633125305,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0014,OPTUNA_AUTONOMOUS_R6,0.809710865358,103453,0.0986604690552,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0015,OPTUNA_AUTONOMOUS_R6,0.650729939298,296613,0.282872200012,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0016,OPTUNA_AUTONOMOUS_R6,0.807364523654,319141,0.304356575012,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0017,OPTUNA_AUTONOMOUS_R6,0.200851608465,128421,0.122471809387,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0018,OPTUNA_AUTONOMOUS_R6,0.483984220945,223397,0.213047981262,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0019,OPTUNA_AUTONOMOUS_R6,-0.0392364398792,209189,0.199498176575,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0020,OPTUNA_AUTONOMOUS_R6,0.744848253536,177189,0.16898059845,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0021,OPTUNA_AUTONOMOUS_R6,0.719734201206,238109,0.227078437805,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0022,OPTUNA_AUTONOMOUS_R6,0.703314306566,382237,0.36452960968,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0023,OPTUNA_AUTONOMOUS_R6,0.0190331121166,248797,0.237271308899,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0024,OPTUNA_AUTONOMOUS_R6,-0.07178905381,91933,0.0876741409302,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0025,OPTUNA_AUTONOMOUS_R6,0.721202990688,314917,0.3003282547,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0026,OPTUNA_AUTONOMOUS_R6,0.807724325258,118749,0.113247871399,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0027,OPTUNA_AUTONOMOUS_R6,0.732369989928,47653,0.0454454421997,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0028,OPTUNA_AUTONOMOUS_R6,-0.00947773970254,204709,0.195225715637,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0029,OPTUNA_AUTONOMOUS_R6,0.516528193403,84765,0.0808382034302,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0030,OPTUNA_AUTONOMOUS_R6,0.810764970221,141853,0.135281562805,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0031,OPTUNA_AUTONOMOUS_R6,0.8020644565,113821,0.108548164368,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0032,OPTUNA_AUTONOMOUS_R6,0.799137172946,372765,0.355496406555,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0033,OPTUNA_AUTONOMOUS_R6,0.792096915358,128413,0.122464179993,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0034,OPTUNA_AUTONOMOUS_R6,0.801300555872,194661,0.185643196106,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
NOx,PINN densa,TRIAL_0036,OPTUNA_AUTONOMOUS_R6,0.80197846428,265437,0.253140449524,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
