rank,candidate_id,source,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective
38,OPTUNA_0039,OPTUNA,0.1705398795035708,8,1.501715522311261,0.0004747405653520396,0.8175439784997052,0.8461801839014594,0.3817257642892556,0.013358588738918351,identity,3,0.48094839953473634,0.5444085532720216,0.5678289072744156,0.08218478307599668,1.3545390797844543,0.8174811295909921,0.37998679076223385,3.383803001110235,0.0,18.0,159029.0,0.612941298698942
39,OPTUNA_0016,OPTUNA,0.19657192285408454,8,1.8598145786293532,0.002992906067714471,0.7233794010732788,0.6749737686390561,0.01892889789060753,1.1686648708574383,identity,3,0.4738829629016076,0.6043564745969708,0.5900404416487931,0.0895715519397916,1.312078382922167,0.806647074532212,0.35270231637732263,3.3015675201446695,0.0,23.0,177867.0,0.6204935039538607
40,ANCHOR_LITERATURE_SHAPE_log1p,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,log1p,3,0.47155696179909024,0.590704895972014,0.5792227063778667,0.08361624539736971,1.3467011624290248,0.8137402447521419,0.5791727767734793,3.464192810765079,0.0,28.0,90508.0,0.6150523735222253
41,OPTUNA_0002,OPTUNA,0.1515873119083874,12,0.8925617149928486,0.0,0.9422889162550361,0.8969138441493568,1.2999179333900456e-07,150.91772677406402,identity,3,0.46947071594609135,0.6518368666892385,0.6036218608508445,0.09610105178905003,1.317017065164096,0.8054076702028117,0.4511462677862245,3.3549337561297103,0.0,189.0,8467305.0,0.6276248800289485
42,ANCHOR_REGULARIZED_log1p,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,log1p,3,0.4676338020812717,0.588185895958642,0.5797141498730025,0.08825817656237553,1.3301774995639943,0.8010566964172015,0.5868412293331579,3.4413079066456933,0.0,999.0,1473745.0,0.6102673672428135
43,OPTUNA_0004,OPTUNA,0.1846107056354071,11,43.69039706939198,0.9842906574293224,0.611218972087866,0.9765070880696394,0.0007482909605048481,0.0022578885101741434,log1p,3,0.46128229519283015,0.6017067946218323,0.5790059633292595,0.08832426865953319,1.3495555993875534,0.8096166245043712,0.6244020209420229,3.5295791968624317,0.0,123.0,110693.0,0.6072927804153115
44,OPTUNA_0034,OPTUNA,0.1830126708651189,8,0.7499768093793127,0.0,0.689745852507242,0.768385228973011,0.0,0.018775376428082895,identity,3,0.44943586041761985,0.5979924321643957,0.5763320840043428,0.09599724252950162,1.3338578403334458,0.8075082233832445,0.4035154449464025,3.372503423682393,0.0,8.0,93627.0,0.5941341063322436
45,OPTUNA_0026,OPTUNA,0.22889654160655495,13,0.5529728535249991,14.397294257367463,0.800341384803742,0.7165360804214942,0.0,0.007195443081166362,identity,3,0.4177781198178161,0.5785889486951448,0.5623652442519241,0.11202055277156685,1.314531510465857,0.7738576745599647,0.3851338518587291,3.35810572105883,0.0,10.0,53752.0,0.5568243293530238
46,OPTUNA_0020,OPTUNA,0.1751804333397433,16,1.8893272691511993,0.0,0.9152981173585295,0.6995548307675937,0.0,0.09027726805273607,identity,3,0.41618436426916183,0.5339397507851533,0.5442843553588621,0.10906194666239383,1.3700133208356637,0.8278525767615783,0.3304706329609886,3.4188179228224054,0.004660700969425801,13.0,1218763.0,0.5442162046323304
47,OPTUNA_0035,OPTUNA,0.06257852977397944,11,0.5860902816481218,0.0,0.9550409929183779,0.83898650001303,0.0,0.0011180769266731288,identity,3,0.4119183995574214,0.4933644998681431,0.5244253076379235,0.10682425938523711,1.4284056757859536,0.8331211126768417,0.461446671355503,3.4168212092384267,0.0,17.0,1202765.0,0.5299183115551953
48,OPTUNA_0030,OPTUNA,0.20526476240740404,5,2.9806079361659803,10.308968801879821,0.8426895710617662,0.7409171785738756,0.0,0.0035330444326437797,log1p,3,0.39384706633755184,0.5446907095984638,0.5140145467228533,0.08829863385229153,1.4883996188596875,0.8846203086483078,0.7344159494177758,4.038986181068603,0.0,102.0,76605.0,0.5256048120445532
