trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
19,OPTUNA_0019,0,42,7411,7628,9,10,14664,7337,506206,1.3242436,0.5513796746,1.6570329239,0.9062258308,-0.4155586553,0.406397483,5.00594,4.2869806618,2.6656077779,-1.9462983143
19,OPTUNA_0019,1,42,15039,7152,9,10,26484,13247,908086,1.8678833,0.6725364779,1.3526412586,0.8534937268,-0.4707029261,0.0419463087,5.63504,3.3572752276,2.6750811041,-2.5174576487
19,OPTUNA_0019,2,42,22191,7158,3,4,18284,9144,625328,2.1244679,0.6177624268,1.2407104665,0.7321846792,0.3271054279,0.0,3.6468,2.815642179,1.4944164086,-1.0981740518
20,OPTUNA_0020,0,42,7411,7628,13,14,35544,17779,1218763,2.0883023,0.4161843643,1.8902947389,1.0386072175,-0.330470633,0.0,5.00594,4.4918132574,2.8930947324,-2.0360417016
20,OPTUNA_0020,1,42,15039,7152,34,35,132031,66033,4513160,3.5653382,0.682728951,1.3314240214,0.8278525768,-0.4478769743,0.0139821029,5.63504,3.3130911464,2.5281023105,-2.3439504601
20,OPTUNA_0020,2,42,22191,7158,4,5,31957,15981,1090870,3.4315153,0.5339397508,1.3700133208,0.7602753862,0.312570884,0.0,3.6468,3.4188179228,1.8199938831,-1.6319219295
21,OPTUNA_0021,0,42,7411,7628,18,19,1035,527,48713,0.3830483,0.4933583751,1.760930025,0.9703770164,-0.4252464323,0.0,5.00594,4.6005417022,3.0742877029,-1.6761333813
21,OPTUNA_0021,1,42,15039,7152,37,38,2082,1060,96795,0.4328464,0.7008409116,1.292862285,0.7784455366,-0.5244908689,0.0,5.63504,3.3102337138,2.5062183159,-2.3489159928
21,OPTUNA_0021,2,42,22191,7158,7,8,478,243,22545,0.4007565,0.5644558451,1.3244020773,0.723123189,0.3214992264,0.0,3.6468,3.2417048427,1.7271965588,-1.3287385817
22,OPTUNA_0022,0,42,7411,7628,258,259,38049,19154,1465316,1.8481498,0.5060797439,1.7386817005,0.9724366566,-0.3511067729,0.0,5.00594,4.2836674368,2.7754982931,-2.1596661967
22,OPTUNA_0022,1,42,15039,7152,19,20,9310,4665,330741,0.858916,0.6512698802,1.3958729632,0.8490209475,-0.4674779254,0.0,5.63504,3.4228834172,2.4980916889,-2.3032921516
22,OPTUNA_0022,2,42,22191,7158,9,10,6518,3264,229230,0.9846437,0.6278203161,1.2242781248,0.6734447427,0.2476350094,0.0,3.6468,2.6667843881,1.4093048348,-0.7500374998
23,OPTUNA_0023,0,42,7411,7628,72,73,136887,68480,4703295,1.9546208,0.5271322125,1.7012241128,0.9075558487,-0.5150745931,0.0,5.00594,4.5433984796,2.8045801333,-2.2366546878
