trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
8,OPTUNA_0008,2,42,26989,2856,61,62,7794,3928,306818,0.8376621,0.7695926199,0.821225098,0.4901619719,-0.0746891903,0.0,4.35905,1.9943921529,1.2103199664,-0.9294051153
8,OPTUNA_0008,4,42,27061,2784,79,80,9738,4909,384754,0.8889982,0.7251073658,0.9231160241,0.5092981206,0.0336061899,0.0,4.38449,2.2384392082,0.9638170695,-0.5073880397
9,OPTUNA_0009,0,42,25813,4032,17,18,10850,5434,381785,0.6903466,0.8198687639,0.6580826873,0.4363189317,0.0599357728,0.0,3.96909,1.3050721184,0.7748405801,-0.3975652521
9,OPTUNA_0009,3,42,26466,3379,24,25,13621,6823,480605,0.7079808,0.739281433,1.0838339484,0.5471992652,0.0482368852,0.0,4.67896,2.7843267706,1.1306823057,-0.9315756426
9,OPTUNA_0009,1,42,27493,2352,31,32,15788,7910,558889,0.7699315,0.6925297171,1.0207790013,0.5308432189,-0.00575053,0.0,4.52935,2.5929994044,1.0800421353,-0.7451048162
9,OPTUNA_0009,2,42,26989,2856,20,21,12331,6176,434113,0.7222094,0.7671699328,0.8255313158,0.5054589615,0.0152863568,0.0,4.35905,1.9387127758,1.1341955259,-0.8988318423
9,OPTUNA_0009,4,42,27061,2784,14,15,9549,4782,335577,0.6538668,0.7004663973,0.9636016021,0.5445830008,0.1192284813,0.0,4.38449,2.2803909143,0.9926235477,-0.5588853203
10,OPTUNA_0010,0,42,25813,4032,780,781,68545,34663,2846238,3.3744116,0.8314523858,0.636571595,0.420956236,0.0496448792,0.0,3.96909,1.2844606773,0.7507152732,-0.382561347
10,OPTUNA_0010,3,42,26466,3379,1112,1113,89275,45194,3769826,4.7188472,0.7305609068,1.1018109242,0.5362154089,0.0419016533,0.0,4.67896,2.8701942994,1.1324310908,-0.9523038237
10,OPTUNA_0010,1,42,27493,2352,618,619,59183,29901,2421201,2.830611,0.7043183886,1.0010189796,0.5169795743,-0.0092854775,0.0,4.52935,2.5607150351,1.0213738621,-0.7271372951
10,OPTUNA_0010,2,42,26989,2856,1550,1551,118481,60016,5051523,6.2516822,0.7745108228,0.812413014,0.5051193591,0.0224597021,0.0,4.35905,1.913046322,1.1268234857,-0.8618004426
10,OPTUNA_0010,4,42,27061,2784,2152,2153,157083,79618,6760735,8.3636713,0.7199052597,0.9318096744,0.5310367789,0.1198807193,0.0,4.38449,2.2182428938,0.9281929714,-0.4192248944
11,OPTUNA_0011,0,42,25813,4032,261,262,11566,5914,566680,1.0614475,0.8243744881,0.6498000681,0.4364263047,0.0605052653,0.0,3.96909,1.3042301137,0.7872741561,-0.4552300015
11,OPTUNA_0011,3,42,26466,3379,685,686,12876,6781,890245,1.7184427,0.7223959687,1.1183806752,0.5679714771,0.0352116044,0.0,4.67896,2.8701221614,1.1847259085,-1.0374385543
11,OPTUNA_0011,1,42,27493,2352,370,371,11905,6138,649938,1.2271137,0.6993380201,1.0094142007,0.52192137,-0.0229992034,0.0,4.52935,2.5720768903,1.0421655501,-0.7769360544
11,OPTUNA_0011,2,42,26989,2856,304,305,11615,5960,596646,1.1440224,0.757100914,0.8431929391,0.5479131572,0.0380758662,0.0,4.35905,1.9283689424,1.2055867491,-1.0097349132
11,OPTUNA_0011,4,42,27061,2784,555,556,12612,6584,795734,1.5308134,0.6932916565,0.9750739041,0.5770320717,0.1344157411,0.0,4.38449,2.2718366308,1.0023700989,-0.557030975
12,OPTUNA_0012,0,42,25813,4032,899,900,91244,46072,3696711,3.6132286,0.8308838742,0.6376442701,0.4191377408,0.0577204771,0.0,3.96909,1.2901925088,0.7405238416,-0.3946239833
12,OPTUNA_0012,3,42,26466,3379,2261,2262,182902,92582,7710690,8.2307266,0.7328997597,1.0970183931,0.5322022663,0.0371065285,0.0,4.67896,2.8419763554,1.1241221946,-0.9292828353
12,OPTUNA_0012,1,42,27493,2352,1011,1012,100274,50643,4077549,3.9997599,0.704310098,1.0010330132,0.5154545711,-0.0171598176,0.0,4.52935,2.5681435271,1.0326568823,-0.7190404511
12,OPTUNA_0012,2,42,26989,2856,2789,2790,219918,111354,9317268,10.0450951,0.7766957914,0.8084673302,0.4993845959,0.0183255144,0.0,4.35905,1.90985831,1.1165053728,-0.845671961
12,OPTUNA_0012,4,42,27061,2784,3466,3467,270945,137206,11498396,12.4417831,0.7202230791,0.931280869,0.5267212442,0.1200572413,0.0,4.38449,2.2290048923,0.9287370764,-0.3895812208
13,OPTUNA_0013,0,42,25813,4032,755,756,119696,60226,4569334,4.0825826,0.8307869615,0.6378269464,0.4190987541,0.0620967515,0.0,3.96909,1.278496086,0.7321002613,-0.3786123135
13,OPTUNA_0013,3,42,26466,3379,1269,1270,167354,84312,6528590,6.2572812,0.7321240383,1.0986102368,0.5269302715,0.0333318246,0.0,4.67896,2.8687740987,1.1388523152,-0.9525034767
13,OPTUNA_0013,1,42,27493,2352,726,727,122635,61681,4650143,4.1270097,0.708250588,0.9943405449,0.5101017031,-0.0052185449,0.0,4.52935,2.5514094868,0.9979059898,-0.7241898418
13,OPTUNA_0013,2,42,26989,2856,1540,1541,191345,96443,7522948,7.6988466,0.7772084169,0.807538823,0.4950061441,0.0149862931,0.0,4.35905,1.914177829,1.1191049627,-0.845473615
13,OPTUNA_0013,4,42,27061,2784,1953,1954,236096,119025,9316884,9.2039389,0.7217313107,0.9287672854,0.5242176914,0.1205460924,0.0,4.38449,2.2191734022,0.9299573658,-0.390753134
14,OPTUNA_0014,0,42,25813,4032,1031,1032,128772,64902,5059987,5.2577358,0.8300638254,0.6391883781,0.4102765464,-0.0397534486,0.0,3.96909,1.3681423587,0.7921805754,-0.553065383
14,OPTUNA_0014,3,42,26466,3379,3063,3064,308238,155651,12501578,14.0525687,0.7341794569,1.0943872894,0.511853409,-0.0521151647,0.0,4.67896,2.9144167052,1.1976127113,-1.0334063702
14,OPTUNA_0014,1,42,27493,2352,1170,1171,148607,74889,5826107,5.852099,0.7034436477,1.0024985873,0.5113460674,-0.1028633609,0.0,4.52935,2.5960265496,1.0748569039,-0.8920048827
14,OPTUNA_0014,2,42,26989,2856,1813,1814,196852,99333,7890280,8.6139722,0.7725585843,0.8159222864,0.4871919913,-0.0769094878,0.0,4.35905,1.9870116582,1.2034137118,-0.97433196
14,OPTUNA_0014,4,42,27061,2784,3043,3044,309008,156026,12514568,13.9959229,0.7236615164,0.9255404914,0.5060179217,0.0377173225,0.0,4.38449,2.2653482559,0.9885124241,-0.5085487692
15,OPTUNA_0015,0,42,25813,4032,160,161,13825,6993,576961,1.2838304,0.8195713667,0.6586257115,0.4371588887,0.0584235732,0.0,3.96909,1.3296188989,0.8105663483,-0.3636064721
15,OPTUNA_0015,3,42,26466,3379,501,502,44084,22293,1830569,2.9546072,0.725616881,1.1118737166,0.5358020241,0.0360312058,0.0,4.67896,2.8919793204,1.1900232903,-0.9643102786
15,OPTUNA_0015,1,42,27493,2352,149,150,13466,6808,557526,1.2048582,0.6904380674,1.0242451788,0.5384047861,-0.0204525793,0.0,4.52935,2.6124317042,1.0903960408,-0.7592418974
15,OPTUNA_0015,2,42,26989,2856,325,326,29210,14768,1208848,2.0918825,0.7752420234,0.8110947263,0.498374712,0.0125535483,0.0,4.35905,1.9134904254,1.1130568731,-0.871625704
15,OPTUNA_0015,4,42,27061,2784,340,341,30919,15630,1276859,2.1141738,0.7092171694,0.9494216225,0.5492833961,0.1350426965,0.0,4.38449,2.2291920054,0.9705892487,-0.4330282837
16,OPTUNA_0016,0,42,25813,4032,1440,1441,98463,49952,4298256,5.6263291,0.8266976683,0.6454879719,0.4243331139,0.0450985473,0.0,3.96909,1.3108600157,0.7723341447,-0.3567183393
16,OPTUNA_0016,3,42,26466,3379,2140,2141,149711,75926,6502056,8.2146305,0.7232346269,1.1166900502,0.5462977251,0.0425347051,0.0,4.67896,2.9315828067,1.179124495,-0.9698930613
16,OPTUNA_0016,1,42,27493,2352,1081,1082,74692,37887,3253450,4.5805383,0.6986022155,1.0106486065,0.5222686559,-0.0234623733,0.0,4.52935,2.5895284578,1.046059463,-0.7142491211
16,OPTUNA_0016,2,42,26989,2856,2684,2685,199779,101232,8563010,11.2270812,0.7742390239,0.8129024975,0.5060834618,0.0206338001,0.0,4.35905,1.9079199993,1.1186345252,-0.8710608203
16,OPTUNA_0016,4,42,27061,2784,3990,3991,314267,159129,13316565,15.9582897,0.7168446728,0.936886771,0.5395528599,0.1247350166,0.0,4.38449,2.2243195581,0.9669259505,-0.4163121064
17,OPTUNA_0017,0,42,25813,4032,2853,2854,1663766,833310,58452436,26.4058254,0.8396583305,0.6208821175,0.4115422984,0.0430728452,0.0,3.96909,1.2512159811,0.7130394601,-0.329783432
17,OPTUNA_0017,3,42,26466,3379,3999,4000,2591666,1297833,90757416,39.004957,0.73249592,1.0978473932,0.5131227079,0.0126331578,0.0,4.67896,2.9176996338,1.1655254567,-0.9856122222
17,OPTUNA_0017,1,42,27493,2352,2585,2586,1525546,764066,53576071,24.3099171,0.7026246702,1.0038818956,0.5175465379,-0.0222378475,0.0,4.52935,2.5832728598,1.0642124014,-0.7026805748
17,OPTUNA_0017,2,42,26989,2856,3820,3821,2476689,1240255,86730074,37.0793972,0.7796537838,0.8030948101,0.4903056614,-0.0121962242,0.0,4.35905,1.9049465383,1.110473883,-0.8683786888
17,OPTUNA_0017,4,42,27061,2784,3991,3992,2617458,1310725,91629055,37.9349139,0.72057184,0.9307002355,0.5228074445,0.11379746,0.0,4.38449,2.2244412669,0.9393114865,-0.3926309371
18,OPTUNA_0018,0,42,25813,4032,790,791,3623,2207,644560,1.5601709,0.786444291,0.7165418225,0.4781845396,-0.0054227164,0.0,3.96909,1.580210796,1.0450291653,-0.8912006169
18,OPTUNA_0018,3,42,26466,3379,704,705,3399,2052,580351,1.3209132,0.6354186389,1.2816634541,0.6763359268,-0.1059808493,0.0,4.67896,3.4748496193,1.8920428313,-1.8664042906
19,OPTUNA_0019,0,42,25813,4032,716,717,973881,487299,33586503,10.6643518,0.8316193872,0.636256151,0.4207649672,0.0761638774,0.0,3.96909,1.266378158,0.7068082308,-0.3281386176
19,OPTUNA_0019,3,42,26466,3379,942,943,1108353,554648,38307717,12.477276,0.744591104,1.0727407535,0.5091057325,0.0275481506,0.0,4.67896,2.7927635359,1.1103489266,-0.9673912177
19,OPTUNA_0019,1,42,27493,2352,621,622,929110,464866,32001603,10.0887572,0.7062295335,0.9977786805,0.5041566109,-0.0034494468,0.0,4.52935,2.5856546982,1.0544371359,-0.8067826621
19,OPTUNA_0019,2,42,26989,2856,660,661,939091,469876,32366686,10.1844743,0.7775870092,0.8068524013,0.4828930147,0.0023996012,0.0,4.35905,1.9257958159,1.1189267443,-0.9032498211
19,OPTUNA_0019,4,42,27061,2784,634,635,929139,464887,32011173,10.0988698,0.7201050534,0.9314772816,0.5187074209,0.1130436223,0.0,4.38449,2.228258433,0.9351972162,-0.4810943982
20,OPTUNA_0020,0,42,25813,4032,369,370,1547008,773689,52843632,14.2726187,0.8184444639,0.6606792987,0.4301257831,0.0924157149,0.0,3.96909,1.2550875365,0.7052020013,-0.3729015787
20,OPTUNA_0020,3,42,26466,3379,467,468,1810496,905482,61867002,16.2838313,0.7357659448,1.0911166045,0.515253069,0.0284414939,0.0,4.67896,2.8255349777,1.1384748546,-1.011439643
20,OPTUNA_0020,1,42,27493,2352,341,342,1478254,739298,50487488,14.4015411,0.7052437277,0.9994514019,0.5056655088,-0.0010393116,0.0,4.52935,2.5899268922,1.0904973753,-0.8707607315
20,OPTUNA_0020,2,42,26989,2856,437,438,1752328,876383,59869460,15.8701885,0.7754729972,0.8106778561,0.4803523755,-0.0058028057,0.0,4.35905,1.9285270949,1.1248538376,-0.8957616691
20,OPTUNA_0020,4,42,27061,2784,326,327,1388077,694202,47411555,13.2628899,0.7166044686,0.9372840732,0.5225572082,0.117091134,0.0,4.38449,2.2421109095,0.9495241691,-0.5747782054
21,OPTUNA_0021,0,42,25813,4032,487,488,1113352,556920,38177324,11.3014801,0.8258030468,0.6471518967,0.4285181951,0.082019254,0.0,3.96909,1.2749551289,0.7231256697,-0.362561328
21,OPTUNA_0021,3,42,26466,3379,538,539,1163335,581937,39910447,11.6757282,0.7443682856,1.0732085803,0.5156550116,0.026108058,0.0,4.67896,2.8097450703,1.1441870307,-1.0138877151
21,OPTUNA_0021,1,42,27493,2352,470,471,1119833,560152,38386443,11.378509,0.7029673046,1.0033033951,0.5092078153,0.0002699549,0.0,4.52935,2.6031718563,1.0940592064,-0.7847828246
21,OPTUNA_0021,2,42,26989,2856,628,629,1258401,629515,43202130,12.9162835,0.7766547878,0.808541553,0.4830764484,-0.0023529485,0.0,4.35905,1.9134815472,1.0997677139,-0.8791345283
21,OPTUNA_0021,4,42,27061,2784,406,407,989891,495149,33926111,10.3198972,0.71591766,0.9384191391,0.5255180822,0.1193860725,0.0,4.38449,2.2388084473,0.9519000671,-0.539076481
22,OPTUNA_0022,0,42,25813,4032,1057,1058,258812,129935,9498673,7.4634406,0.8354169299,0.6290403881,0.4132655144,0.06059144,0.0,3.96909,1.2602371157,0.7082981606,-0.3220203445
22,OPTUNA_0022,3,42,26466,3379,1388,1389,322037,161713,11866767,9.431929,0.7392442905,1.0839111482,0.513650402,0.0329405368,0.0,4.67896,2.8318891788,1.1097732511,-0.9205515608
22,OPTUNA_0022,1,42,27493,2352,790,791,218871,109831,7964464,5.8923155,0.7073547113,0.9958660385,0.5090041802,-0.0062384596,0.0,4.52935,2.5588093151,1.0305285836,-0.7431781991
