model_id,protocol,family,target,version,seed,relative_path,size_bytes,sha256,storage_status
dense_pinn-walk_forward-nox-seed42,walk_forward,dense_pinn,NOx,R3F_STD,42,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed42.pt,318437,65b11355b63b58a08196f46923c53f61f70c834b208b181e951c727ce802340f,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed63,walk_forward,dense_pinn,NOx,R3F_STD,63,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed63.pt,318437,731da8bf79845a95c7e177d8e8805cbeeb367154310037cd37b5ef6e127b649b,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed84,walk_forward,dense_pinn,NOx,R3F_STD,84,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed84.pt,318437,a55e40662c5a11ed51b2490c600ffc3960b7f40c7b859e572a3b4f7a2bbe0680,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed105,walk_forward,dense_pinn,NOx,R3F_STD,105,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed105.pt,318517,2aba77016ca3b03950e8c1be22e246087f92af984db83d655944b6d1bff3328f,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed126,walk_forward,dense_pinn,NOx,R3F_STD,126,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed126.pt,318517,c8d61a1b9394d40226e385aae8e8c9b4ff899fb1952c9d662aa25499d415fac3,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed147,walk_forward,dense_pinn,NOx,R3F_STD,147,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed147.pt,318517,5f9c8d51adb117cfe7a642b7288760691c8f62a98b193531c1f1ec8d4d725d36,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed168,walk_forward,dense_pinn,NOx,R3F_STD,168,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed168.pt,318517,2b0bb2fc986f5b8dd3c3e960673e7350bb2a3d5a27ad94ec67413a1a17f2f8b8,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed189,walk_forward,dense_pinn,NOx,R3F_STD,189,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed189.pt,318517,ea5bf886e15e17c1cec577fea16a91572c15385139b8f8fc5dd03a12d501011c,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed210,walk_forward,dense_pinn,NOx,R3F_STD,210,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed210.pt,318517,7072f98f60e95ee845ab3a10f69752709a49f08e0ab95d192583e0474b09d291,LFS_REQUIRED
xgboost-walk_forward-co-seed21,walk_forward,xgboost,CO,R1F_STD,21,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed21.ubj,474115,f32c33cb179b685b86aa77e30e194365426deac4213422568dcbbe631e9c1e21,LFS_REQUIRED
xgboost-walk_forward-co-seed42,walk_forward,xgboost,CO,R1F_STD,42,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed42.ubj,475136,3c76b6ea69a0d28aa49d7b7742bb7fe60e9e056761dd5e24a3d702355450e9bc,LFS_REQUIRED
xgboost-walk_forward-co-seed63,walk_forward,xgboost,CO,R1F_STD,63,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed63.ubj,481532,c8d9cab7b273ab1beca43c328b4a5aa7446c7ac2ab0770f0b7f506293d08f420,LFS_REQUIRED
xgboost-walk_forward-co-seed84,walk_forward,xgboost,CO,R1F_STD,84,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed84.ubj,474930,4c7818ac6810c5e7b1b4aa950796678089e599a4f3c260c237e3bb4e2a021431,LFS_REQUIRED
xgboost-walk_forward-co-seed105,walk_forward,xgboost,CO,R1F_STD,105,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed105.ubj,475753,f19ac2e597b0d3c1230ffa48a63ccbdd55761fcb63cce5c8096995f9e9abf22a,LFS_REQUIRED
xgboost-walk_forward-co-seed126,walk_forward,xgboost,CO,R1F_STD,126,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed126.ubj,479151,fea31ebb50228bc2d3e7a9dc406e7f1cd17d00b129b727a6e372a4e048a53c88,LFS_REQUIRED
xgboost-walk_forward-co-seed147,walk_forward,xgboost,CO,R1F_STD,147,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed147.ubj,479561,539c3884db75fae3e56ea95a7401f0d1899abae2ff9aac24aa33a6b7f8a0003b,LFS_REQUIRED
xgboost-walk_forward-co-seed168,walk_forward,xgboost,CO,R1F_STD,168,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed168.ubj,473366,b904aca97a8a4618b6ccfe955d5c96b7f39aaa0dbbf7590f5843180d392bf581,LFS_REQUIRED
xgboost-walk_forward-co-seed189,walk_forward,xgboost,CO,R1F_STD,189,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed189.ubj,477789,47b311af8d93e9d82d6b5e4b2fcb5cab50a4f1a364b73fe1e2acd7a20f183936,LFS_REQUIRED
xgboost-walk_forward-co-seed210,walk_forward,xgboost,CO,R1F_STD,210,models/xgboost/walk_forward/CO/XGBOOST_CO_WF_seed210.ubj,475411,32befc3f0c2117fe0a1d668946cdbad022ebc7c7a2d69b29294fdb4dc2ed519d,LFS_REQUIRED
xgboost-walk_forward-nox-seed42,walk_forward,xgboost,NOx,R1F_STD,42,models/xgboost/walk_forward/NOx/XGBOOST_NOX_WF_seed42.ubj,26596589,83f083e91475b6b8575eda9988864c5f294328c0ddd3c3f9dbc46249b7ff4060,LFS_REQUIRED
