trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_mean,g_star_median,g_star_q05,g_star_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
3,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,44448,35.46328310004901,0.023318767547607422,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6309442940423968,7.318794119584055,5.320213463482441,0.09540611570291223,0.6074570801373602,-1.596195208679643,7.143111538732283,0.8065698951222113,0.6139795011186935,25.42828884263497,0.0,100.0,0.0,0.0,0.369625449180603,0.3584793210029602,0.17963197827339172,0.592166006565094,0.369625449180603,0.3584793210029602,0.17963197827339172,0.592166006565094,77.1484375,22.8515625,0.0,-0.9601242542266846,215,16545,35.46300260000862,512,2048,deterministic_evenly_spaced_full_fold,640,630,98.4375,1.598838673557433,20,0.99,1.598838673557433
3,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,40640,18.04827709996607,0.02364349365234375,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.06395705734964663,9.646905743946764,7.949466810575508,0.10567666452626719,0.96742553918542,7.029460993050264,6.607235990159297,0.7727419742281553,0.7440825900241076,22.401622849631853,0.0,100.0,0.0,0.0,0.35147207975387573,0.3695967197418213,0.18598605692386627,0.4751884937286377,0.35147207975387573,0.3695967197418213,0.18598605692386627,0.4751884937286377,99.658203125,0.341796875,0.0,-1.8837661743164062,20,16545,18.04795010003727,512,2048,deterministic_evenly_spaced_full_fold,640,635,99.21875,1.425508144193831,20,0.99,1.425508144193831
4,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,24.925394400022924,0.025110244750976562,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7437197221454503,5.17594631252695,3.6580897307733498,0.06626229156837592,0.5062081395482694,-0.2701935445568483,5.169228054863507,0.8669663761407425,0.8252596010504818,11.750017670075946,0.0,78.173828125,21.826171875,0.0,0.10267525911331177,0.13556981086730957,-0.2276347577571869,0.2715737521648407,0.10267525911331177,0.13556981086730957,-0.2276347577571869,0.2715737521648407,98.6328125,1.3671875,0.0,-1.4801568984985352,1,13249,24.925106599985156,128,2048,deterministic_evenly_spaced_full_fold,640,634,99.0625,1.4832095268464458,20,0.99,1.4832095268464458
4,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,40640,70.8483348999871,0.02520608901977539,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6486890392300739,7.140677484835387,5.17953745684101,0.09308422824634711,0.5926734683701163,-1.0040814097829047,7.070225233359194,0.8097291823522734,0.6515281889607459,23.391697900006168,0.0,98.779296875,1.220703125,0.0,0.4405970573425293,0.44666919112205505,0.12177792191505432,0.7624819278717041,0.4405970573425293,0.44666919112205505,0.12177792191505432,0.7624819278717041,59.326171875,40.673828125,0.0,-0.4188183546066284,65,13249,70.84805949998554,128,2048,deterministic_evenly_spaced_full_fold,640,630,98.4375,1.598838673557433,20,0.99,1.598838673557433
4,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,44448,68.1496666999883,0.0255279541015625,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.08737480021719435,9.525469194999973,7.800947868014621,0.10434639243852235,0.9552474561855541,6.40095058530694,7.054739396871665,0.7293446287427943,0.6633533123744835,26.622268748651088,0.0,99.90234375,0.09765625,0.0,0.3592941164970398,0.30867844820022583,0.12808798253536224,0.74273282289505,0.3592941164970398,0.30867844820022583,0.12808798253536224,0.74273282289505,64.94140625,35.05859375,0.0,-0.7701892852783203,20,13249,68.14935000002151,128,2048,deterministic_evenly_spaced_full_fold,640,635,99.21875,1.425508144193831,20,0.99,1.425508144193831
5,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,14.377123899990693,0.02502918243408203,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7660137117367382,4.945695501067633,3.346387555602963,0.06331462838148251,0.4836895839333838,-0.8991435065467006,4.863593934466522,0.879854466972608,0.7916606783789757,13.432302829005632,0.0,100.0,0.0,0.0,0.5354244709014893,0.5347325801849365,0.3590244948863983,0.6841358542442322,0.5354244709014893,0.5347325801849365,0.3590244948863983,0.6841358542442322,100.0,0.0,0.0,-1.7661491632461548,40,9089,14.376848000043537,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.4832095268464458,20,0.99,1.4832095268464458
5,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,44448,42.29103019996546,0.025124073028564453,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6405329759185814,7.223091167923374,5.235913530558815,0.09415855405135315,0.5995137721789136,-1.3584348691389865,7.094697920375966,0.808557716965381,0.6353566769611457,24.169478017455845,0.0,100.0,0.0,0.0,0.5496993064880371,0.516598105430603,0.35035133361816406,0.8806982636451721,0.5496993064880371,0.516598105430603,0.35035133361816406,0.8806982636451721,91.162109375,8.837890625,0.0,-0.9709229469299316,125,9089,42.29070770001272,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.598838673557433,20,0.99,1.598838673557433
5,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,40640,28.358388900000136,0.02544689178466797,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.1829015181242436,9.013165598481516,7.463508494308655,0.09873438204453132,0.9038718549053729,6.074416964238634,6.659189724704919,0.7759828443154371,0.7723629919629809,19.747863145264976,0.0,97.900390625,2.099609375,0.0,0.2841907739639282,0.3084768056869507,0.07115232944488525,0.42046472430229187,0.2841907739639282,0.3084768056869507,0.07115232944488525,0.42046472430229187,100.0,0.0,0.0,-3.348515510559082,1,9089,28.358133299974725,256,2048,deterministic_evenly_spaced_full_fold,320,319,99.6875,1.425508144193831,20,0.99,1.425508144193831
6,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,42752,13.031806800048798,0.027092456817626953,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7707327142521989,4.895569434670497,3.3245716675076737,0.0626729161560786,0.47878724892415925,-0.6190775934788464,4.856586775641822,0.8805053714489084,0.8015682321791593,13.030838368934345,0.0,71.38671875,28.61328125,0.0,0.08606626838445663,0.1164165735244751,-0.3764183223247528,0.40442168712615967,0.08606626838445663,0.1164165735244751,-0.3764183223247528,0.40442168712615967,70.99609375,29.00390625,0.0,-0.15077154338359833,10,23329,13.031531199987512,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.4832095268464458,20,0.99,1.4832095268464458
6,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,40640,28.76890959998127,0.026846885681152344,0.046875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6019423081121468,7.6009272971020305,5.380367424664081,0.09908393887133332,0.6308740247083717,-2.019931937757488,7.328129320553947,0.7939754468743077,0.6156912595642493,24.884715501393522,0.0,84.423828125,15.576171875,0.0,0.13875186443328857,0.1456754207611084,-0.10738181322813034,0.3313452899456024,0.13875186443328857,0.1456754207611084,-0.10738181322813034,0.3313452899456024,95.80078125,4.19921875,0.0,-1.1828844547271729,35,23329,28.76864059997024,256,2048,deterministic_evenly_spaced_full_fold,320,315,98.4375,1.598838673557433,20,0.99,1.598838673557433
