rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_tit_violation_max,active_tit_pcd_min,parameter_count,training_time_s,config_hash
34,47,TRIAL_0047_TIT_INC,B,0.1488847020668015,0.6539044189437133,0.5174736240555902,0.6703625766175939,7.134080033133727,5.167320415826748,0.26354541113158675,1.8539562176714321,4.443359375,95.556640625,78433,130.41423530003522,305155c631a3886878f611813ffa3a735d83bc0429a364c13f0f89b5e2a1dcc0
35,10,TRIAL_0010_TIT_INC,B,0.10210712919518494,0.607515320428769,0.48622041083855877,0.6916251784095874,7.372585154613844,5.559866755514939,0.2776862527602055,3.277128134593479,3.7109375,96.2890625,51137,40.95159919996513,ff1407995dd42f779b1613a08f970f4bcb332a03713315ca52e6b326a0b95177
36,26,TRIAL_0026_TIT_INC,B,0.0753738845179841,0.6503477598854144,0.49615593196966334,0.6799451569952643,7.230600885597968,5.464315569792788,0.30105536390385196,2.7060966224153735,4.541015625,95.458984375,45185,93.24866230005864,1c3a2648be5abb497f5220620cd423cc571911ad66b7b96b2809f984cc0426d5
37,2,ANCHOR_TIT_TANH_COMPACT,B,0.061527503393370875,0.6472892496573889,0.48347464591123473,0.6902744947829623,7.3371806120364935,5.566063843979282,0.30083607000725393,3.235086133858136,1.3671875,98.6328125,4865,56.431556900031865,50080fd706f333540320e100db2f91d275682fa3a3a781764e3a3f1db8dca256
38,34,TRIAL_0034_TIT_INC,B,0.04601032945729411,0.6559683943595459,0.48956173259582414,0.6820432706197576,7.247875399373342,5.695927721507708,0.3168796995586884,2.782965195927785,3.41796875,96.58203125,32481,41.11555789998965,61603a1d8b378c912fdeaac66846c59190866136cd5a0055113ea1a2153a4fb4
39,17,TRIAL_0017_TIT_INC,B,0.0003802991390170485,0.6316906625482415,0.4624381013778593,0.7004263170658046,7.446255455763658,5.65799584421213,0.3305947928959167,3.3551010597754494,1.46484375,98.53515625,30529,52.751019300019834,398e082e31ceca38cf00c582ccc8c289b0d7b3bb6f59b9a6275cbe53d714fe0c
40,46,TRIAL_0046_TIT_INC,C,0.3016669932731232,0.6557791298469196,0.569766854647897,0.640125555639624,6.831272490302104,5.06672212783205,0.19359023407995646,2.1711592300392595,12.255859375,87.744140625,32961,141.64521910005715,14b5558dcabc8019638b2b8b3fb708fbab744bce79880756345b7fcb34a68973
41,52,TRIAL_0052_TIT_INC,C,0.22018960377603358,0.6598543487141273,0.5479156457464828,0.6507527994005755,6.933817610236559,5.127361799294538,0.2355835361265062,2.505547686469316,8.935546875,91.064453125,39169,85.70198280003387,5d4de7cd6c908424c53c0881a58ca26f5694df0b5e9301f656347eac44778fac
42,32,TRIAL_0032_TIT_INC,C,0.10396358907048697,0.6494272017568182,0.5024343088778572,0.678205427928173,7.214549508932744,5.370978586994343,0.2849718831378309,2.840642647439474,5.517578125,94.482421875,88545,69.5210123998695,6bf04e39d0644d365d6d49fd9545a7962227f3e0f491df34a5e6b30914fe9c49
43,4,TRIAL_0004_TIT_INC,C,0.08737480021719435,0.6486890392300739,0.4932611871975729,0.6847096880346465,7.28069766412077,5.54619168520966,0.2896152931342196,2.5584085132155643,21.826171875,78.173828125,13249,163.9225160999922,048ad242e297c5cc644043eb0dc65f1ac612cdf5dd37706e1f05462d51666972
